a0,a1,a2,a3,a4,a5
55,161,105,137,93,111
55,161,100,136,90,111
56,161,97,135,88,110
55,161,98,132,90,111
56,161,100,129,95,111
55,161,101,127,101,109
55,161,102,126,104,109
56,161,104,126,106,108
56,162,107,128,107,109
55,161,111,131,112,111
57,161,111,134,106,108
58,161,107,137,96,106
58,161,108,139,95,110
58,161,109,140,98,110
56,161,105,140,100,107
55,162,103,139,98,109
55,162,105,138,96,112
56,161,102,137,91,111
55,162,98,135,88,110
56,161,96,132,88,109
55,162,97,130,93,109
55,161,98,127,95,109
55,162,100,126,96,110
56,162,107,126,98,110
57,162,111,127,105,109
57,162,113,131,110,109
56,162,111,134,109,108
56,162,107,137,104,108
56,162,104,139,102,108
56,162,102,140,100,109
55,162,103,140,99,109
55,162,105,140,100,108
55,162,107,139,98,109
58,162,105,139,90,112
60,162,103,137,85,110
57,162,98,134,83,110
57,162,97,131,86,110
56,162,98,127,92,109
57,162,100,125,100,108
57,162,103,124,102,110
57,162,106,125,104,109
57,162,108,128,106,109
57,162,110,132,110,110
57,162,110,136,106,111
56,162,108,139,102,109
56,162,107,141,100,108
56,162,105,142,98,107
57,162,105,142,97,108
57,162,104,140,97,108
57,162,103,138,96,109
56,162,101,136,93,110
57,162,99,133,90,111
56,162,99,131,90,112
57,162,99,128,92,109
57,162,100,126,95,110
57,162,101,125,96,110
57,162,104,125,99,111
57,162,107,126,103,110
57,162,110,130,106,108
57,163,109,135,105,108
57,162,108,138,103,109
57,162,108,140,102,109
57,162,106,141,101,108
57,162,105,140,102,108
57,162,105,139,103,109
57,162,106,137,100,110
57,162,104,137,93,109
57,162,101,136,88,110
57,162,99,134,84,110
57,162,98,132,86,110
57,162,98,129,92,110
57,162,100,127,94,110
57,162,104,126,100,112
57,162,103,127,107,107
57,162,106,128,111,108
57,162,111,131,109,110
57,162,112,134,105,111
57,162,106,137,102,107
57,162,105,139,95,107
57,162,104,139,92,107
57,162,104,139,96,109
57,162,105,138,101,109
57,162,105,138,101,109
57,162,103,137,94,110
57,162,101,136,89,110
57,162,99,134,88,111
57,162,99,131,91,111
57,162,100,129,95,110
57,162,101,127,99,111
57,162,105,126,100,111
57,162,107,127,103,109
57,162,108,129,105,108
57,162,108,132,106,107
57,162,104,134,102,107
57,162,106,136,103,108
57,162,109,137,112,109
57,162,107,138,103,109
56,162,105,139,88,109
57,162,106,140,89,110
57,162,105,139,94,109
57,162,102,138,94,110
57,162,98,136,92,110
57,162,97,133,90,111
57,162,98,130,92,111
57,162,100,128,97,111
57,162,102,126,99,110
57,162,104,126,100,109
57,162,107,127,105,108
57,162,110,129,106,109
57,161,108,133,106,109
57,162,107,136,104,109
57,162,110,139,102,110
57,162,108,141,96,107
57,162,104,141,94,106
57,162,104,140,95,109
57,162,105,139,96,111
57,162,103,137,93,111
57,162,100,136,92,109
57,162,95,134,92,109
57,162,95,131,95,111
57,162,95,129,97,111
57,162,101,127,99,110
57,162,106,126,101,110
57,162,109,126,104,109
57,162,111,128,106,109
59,162,110,131,104,108
56,162,108,134,99,109
56,162,108,137,97,109
55,161,106,138,97,108
56,161,106,139,98,108
56,162,105,139,98,107
55,162,103,139,100,107
56,162,104,139,98,108
55,162,101,138,95,111
55,162,100,136,93,112
56,162,98,133,93,110
56,162,97,130,92,109
56,162,100,128,93,110
56,162,103,126,95,110
55,162,104,126,98,110
56,162,107,126,103,109
57,162,110,129,105,109
56,162,108,132,101,108
56,162,106,135,99,107
55,162,106,138,103,107
56,162,108,139,106,111
56,162,110,140,104,110
56,162,106,140,97,108
55,162,103,140,96,108
55,162,101,140,95,110
56,161,101,139,93,110
56,162,99,136,87,110
56,162,98,133,87,110
56,162,100,130,90,112
56,162,102,127,96,110
55,162,101,126,105,110
55,162,105,126,107,111
56,161,107,128,107,109
55,162,108,132,109,107
56,162,105,134,111,106
57,162,105,136,107,107
56,162,106,136,96,108
56,162,108,136,88,109
56,162,107,136,88,109
56,162,104,136,94,109
56,162,106,136,96,110
56,162,105,137,95,111
56,162,100,137,91,110
56,162,97,135,89,111
56,162,99,132,94,111
56,162,101,129,99,110
56,162,101,126,101,109
56,162,103,125,101,109
56,162,106,126,102,110
55,162,110,129,105,109
56,162,109,133,103,108
56,162,108,136,102,109
56,162,108,139,103,109
57,162,106,140,102,107
58,162,104,140,101,108
57,162,105,140,100,109
56,162,106,139,98,109
56,162,104,138,92,109
55,162,101,137,89,110
56,162,99,135,89,112
56,162,98,133,91,111
55,162,99,130,94,111
55,162,101,128,97,109
55,162,101,127,100,110
55,162,104,127,103,109
55,162,107,128,105,109
55,162,110,131,105,109
55,162,111,134,100,108
56,161,108,137,99,108
56,162,108,138,100,108
55,162,106,139,99,108
55,162,104,139,99,108
55,162,104,138,99,110
55,162,103,138,99,110
56,162,100,137,96,110
55,162,98,135,91,110
55,162,97,133,88,110
55,162,98,130,91,110
55,162,100,128,94,111
55,162,104,126,95,110
55,162,107,126,96,109
55,162,109,127,102,109
55,161,111,129,108,109
55,161,110,133,107,108
55,162,106,137,104,107
56,162,105,139,102,108
55,162,106,140,102,109
56,162,106,139,100,109
56,162,105,139,98,108
55,162,105,138,99,109
55,162,104,138,97,109
55,161,101,136,92,111
55,162,99,135,86,111
55,162,98,132,86,110
55,162,100,130,90,111
57,162,100,128,95,111
57,162,102,127,100,110
57,162,104,127,104,109
57,162,108,129,108,109
56,162,111,131,107,109
57,162,109,134,102,108
57,162,106,136,100,107
57,162,106,137,100,107
58,162,106,138,98,109
58,162,106,138,96,108
58,162,105,138,97,109
58,162,107,138,99,112
59,162,103,139,92,111
58,162,100,138,89,110
58,162,96,136,92,109
59,162,98,132,96,110
58,162,101,129,95,111
59,162,102,127,97,111
58,162,101,125,100,110
58,162,103,126,111,110
59,162,109,129,113,109
59,161,111,132,102,108
59,162,107,135,98,107
59,162,108,137,95,108
58,162,108,139,89,109
58,162,106,140,92,108
59,162,104,139,98,109
59,162,106,139,104,110
58,162,105,139,106,111
59,162,101,138,98,109
59,162,98,136,91,111
58,162,97,133,88,111
59,162,98,130,91,110
58,162,100,127,95,110
58,162,103,124,98,110
59,162,105,124,100,109
58,162,107,125,105,108
59,162,109,128,107,107
59,162,108,132,105,108
58,162,107,135,103,109
58,162,108,138,98,108
59,162,108,140,95,108
59,162,106,140,96,108
58,162,104,140,98,109
58,162,105,139,100,110
59,162,104,139,96,111
59,162,100,137,93,111
59,162,98,134,89,111
59,162,98,131,89,111
58,162,100,129,94,111
58,162,101,127,99,110
58,162,102,127,100,109
58,162,105,127,100,108
58,162,109,129,105,109
58,162,110,132,106,108
59,162,106,135,104,107
58,162,105,137,103,109
58,162,108,138,102,110
59,162,109,140,100,110
57,162,107,140,98,108
58,162,104,140,97,108
58,162,103,139,96,109
58,162,102,138,93,111
58,162,99,136,89,109
58,162,96,133,89,110
58,162,98,129,93,111
58,162,100,127,95,111
58,162,100,125,98,111
59,162,103,125,100,112
58,162,106,127,101,110
58,161,110,131,103,109
58,162,111,134,106,107
58,162,108,136,105,108
58,162,106,137,102,107
58,161,106,137,98,108
58,162,106,136,97,109
58,162,106,136,99,110
58,162,106,136,101,110
56,161,104,137,98,110
57,162,100,138,94,110
56,162,99,137,90,111
