a0,a1,a2,a3,a4,a5
81,143,106,132,125,123
81,143,110,130,122,122
80,143,112,128,118,116
80,143,112,127,113,113
80,143,112,127,114,113
81,143,112,128,119,109
81,143,109,130,119,102
81,143,107,132,122,103
80,143,105,138,131,105
80,142,105,140,127,99
81,143,99,140,120,95
80,143,97,138,119,100
81,143,99,136,118,103
81,143,98,136,115,105
81,143,100,135,118,111
80,143,103,133,121,117
81,143,106,132,125,123
81,143,110,130,122,122
80,143,112,128,118,116
80,143,112,127,113,113
80,143,112,127,114,113
81,143,112,128,119,109
81,143,109,130,119,102
81,143,107,132,122,103
80,143,105,133,125,106
80,143,108,135,127,106
80,143,103,137,122,99
80,143,98,137,118,97
81,143,98,138,116,101
81,143,98,137,115,104
81,143,98,136,115,110
81,143,102,135,122,115
81,143,104,134,127,120
81,144,108,131,124,122
81,142,112,132,116,118
80,143,111,131,112,113
80,143,111,129,116,112
80,143,112,129,118,111
80,143,111,129,116,106
80,143,108,131,119,104
80,144,107,133,126,105
80,143,104,135,129,107
81,143,107,136,126,105
81,144,102,136,118,101
80,143,100,136,116,102
80,143,99,136,118,101
81,143,98,137,121,103
80,143,99,137,123,109
81,143,103,137,122,115
80,143,107,135,121,120
79,143,111,134,119,120
80,143,111,132,113,114
80,143,111,130,110,113
80,143,111,130,115,114
80,144,111,130,122,109
80,144,109,131,126,104
80,144,106,132,124,103
80,144,105,134,122,108
81,145,107,136,125,110
81,143,105,136,121,100
80,144,99,137,114,97
80,144,98,138,115,101
80,144,100,138,123,103
81,144,99,138,124,106
80,143,101,138,127,112
81,144,103,135,127,119
80,144,109,132,123,122
81,143,113,131,123,119
80,144,113,129,111,113
80,144,111,128,107,112
80,144,111,128,110,110
80,144,109,129,114,106
80,144,107,131,117,102
80,144,105,133,122,104
80,144,105,135,124,109
81,143,109,136,126,108
80,144,105,139,125,102
80,144,100,141,128,99
80,144,98,140,126,102
80,144,98,139,121,103
80,144,99,137,119,109
80,145,102,135,118,115
81,144,106,134,117,121
81,144,109,131,115,119
81,144,112,130,113,115
80,144,111,128,111,112
80,144,111,128,116,112
80,144,111,128,122,111
80,144,109,131,127,106
80,144,106,133,125,103
80,144,104,135,127,105
80,143,105,135,132,110
80,145,108,137,125,106
80,144,102,138,116,98
80,144,98,137,118,101
80,144,98,137,117,104
