a0,a1,a2,a3,a4,a5
53,139,106,137,120,102
53,139,105,136,119,104
53,139,104,134,121,112
53,139,107,135,126,116
53,139,103,136,118,106
53,139,100,135,115,105
53,140,100,134,116,108
53,139,100,132,116,108
53,139,99,131,117,110
53,139,101,130,121,116
53,139,104,131,125,119
53,139,107,132,126,114
53,139,107,134,122,108
53,139,107,135,120,103
53,138,107,136,119,104
53,138,108,136,120,104
53,138,107,136,121,103
53,139,106,135,120,103
53,138,104,134,120,107
53,138,104,135,124,118
53,140,105,136,123,112
53,138,101,137,116,105
53,138,100,136,116,107
53,138,100,134,116,108
53,138,99,133,115,107
53,139,100,131,118,112
53,138,102,130,121,118
53,137,105,130,123,119
53,137,108,131,124,113
53,138,107,133,121,105
53,138,106,135,120,103
53,138,108,135,120,105
53,138,108,136,121,104
53,137,107,136,120,102
53,138,105,136,119,103
53,137,104,135,121,110
53,137,107,135,127,118
53,138,104,137,120,109
53,137,100,136,114,105
53,138,100,135,116,108
53,138,99,133,117,108
53,138,99,131,117,110
53,138,101,131,120,114
53,138,103,131,123,118
53,138,106,131,124,117
53,138,108,133,122,109
53,139,107,135,120,104
53,139,107,136,121,104
53,139,108,136,121,104
53,139,107,136,119,103
53,139,106,135,118,102
53,139,105,133,119,106
53,138,104,132,122,115
53,138,107,134,125,115
53,139,102,136,118,105
53,139,100,136,116,107
51,139,100,136,117,110
53,139,100,135,115,107
52,139,100,133,117,110
53,139,101,131,121,115
53,139,104,131,125,118
53,139,106,132,124,114
53,139,107,133,121,107
53,140,107,134,120,105
53,140,108,135,121,104
53,139,107,136,121,103
53,139,107,136,120,102
53,139,105,136,118,103
53,139,105,135,120,109
54,140,106,135,127,119
53,139,104,137,122,110
53,139,100,136,115,105
53,140,100,134,116,108
53,139,100,133,116,108
53,139,100,132,116,109
53,139,100,131,119,113
53,139,102,132,122,118
53,140,105,133,123,118
54,140,106,134,121,111
53,139,107,134,119,104
53,139,107,134,121,103
53,139,108,134,123,104
53,139,108,134,121,104
53,140,107,134,119,103
53,140,105,134,119,103
53,140,103,133,122,111
53,140,106,134,128,117
53,139,103,136,118,108
53,140,100,136,115,107
54,140,101,135,116,108
53,140,100,134,116,108
53,140,99,132,117,111
53,140,101,131,120,114
53,140,103,131,124,118
53,141,106,132,124,116
53,140,107,133,122,109
53,140,107,135,118,103
53,140,108,136,120,104
53,140,108,136,121,104
53,140,107,136,121,102
53,140,106,136,119,102
53,140,104,135,120,107
52,141,105,134,126,118
53,142,105,136,122,112
54,140,101,136,116,104
53,140,100,135,117,108
53,140,100,134,117,109
53,140,100,133,116,109
53,140,100,132,118,112
53,140,101,131,122,118
53,140,105,132,123,118
53,140,107,132,121,112
53,140,107,134,119,104
53,140,107,135,120,103
53,140,107,135,122,105
53,140,108,136,122,104
53,140,107,136,119,102
53,140,105,135,118,103
53,140,104,134,120,110
52,141,107,135,127,118
53,140,103,137,120,108
53,140,100,136,115,107
53,141,100,135,116,109
53,140,100,134,116,108
53,140,99,132,116,109
53,141,101,131,120,113
53,140,103,131,123,119
53,140,106,132,125,117
53,141,107,133,122,109
53,140,107,134,119,104
53,140,107,135,119,103
53,140,108,136,121,104
53,140,107,136,120,103
53,140,106,136,119,102
53,140,104,135,120,105
53,140,103,134,124,116
52,140,106,136,124,115
53,140,102,137,116,105
53,139,100,136,116,107
