a0,a1,a2,a3,a4,a5
55,142,104,129,100,127
54,141,107,129,98,130
54,142,108,132,97,121
55,142,106,135,98,115
55,142,106,137,99,117
55,142,106,138,98,117
55,142,106,139,98,111
55,142,104,138,94,103
55,142,101,137,93,102
55,142,102,135,102,115
55,142,108,135,106,108
55,142,100,134,94,87
55,140,96,133,94,86
55,142,101,131,100,92
55,142,101,130,100,91
55,142,101,128,103,103
55,142,104,128,103,121
55,142,107,130,100,131
54,142,108,132,100,125
55,142,106,135,89,115
55,142,104,137,90,114
55,142,105,138,97,117
55,142,105,139,98,115
55,142,104,138,97,109
55,142,103,136,99,104
55,142,103,135,101,106
55,142,107,134,108,116
55,142,105,136,102,99
55,142,98,135,87,84
55,142,98,133,92,89
55,142,102,131,97,90
55,142,100,129,98,95
55,141,102,127,99,112
55,142,106,127,96,126
55,142,107,129,100,128
55,141,107,131,102,122
55,142,106,135,101,113
55,142,105,137,100,114
55,142,104,139,98,116
55,142,103,139,95,113
55,142,103,138,94,107
55,142,103,136,94,103
55,142,104,134,98,112
54,142,109,134,111,112
54,142,103,134,100,91
55,142,97,132,94,85
55,142,101,132,96,91
55,142,101,130,94,91
55,142,100,130,95,101
55,142,103,130,100,116
55,142,106,130,101,129
56,142,108,132,102,127
54,142,107,134,97,119
55,142,105,136,97,114
55,142,105,138,99,117
54,142,105,139,98,116
55,142,104,138,96,110
55,142,103,137,95,103
55,142,102,134,97,104
54,141,104,132,107,117
54,142,107,133,103,103
55,141,99,133,90,85
55,141,98,132,94,89
55,141,102,132,96,94
55,142,101,131,94,95
55,142,102,131,97,107
55,142,103,131,101,121
55,142,106,132,104,131
55,141,108,133,101,125
55,142,107,136,97,114
55,142,105,137,94,114
55,142,105,138,95,115
55,142,104,137,98,114
55,142,104,136,98,110
54,142,104,135,99,104
55,142,103,133,102,106
54,142,108,133,108,114
54,141,104,134,95,95
55,142,98,133,89,84
55,142,99,132,96,91
54,142,102,131,98,91
54,142,101,131,97,99
55,142,104,130,94,112
55,142,104,130,97,125
55,142,105,131,105,130
55,142,107,133,105,123
55,142,106,136,98,114
55,142,104,137,94,115
55,142,105,137,93,115
54,142,105,137,97,111
55,142,104,136,99,106
55,142,103,135,99,105
54,141,104,134,102,115
55,142,108,136,103,106
55,142,101,135,93,87
55,142,97,134,93,86
55,142,101,132,98,93
53,142,101,131,96,93
55,143,102,129,97,106
55,142,105,129,99,119
55,142,105,130,100,128
55,142,107,132,97,125
54,142,107,134,97,116
