a0,a1,a2,a3,a4,a5
53,132,110,136,121,105
53,132,109,136,124,107
53,132,109,136,121,105
53,132,107,135,117,102
52,132,105,134,115,105
53,132,103,133,120,113
53,132,107,135,124,113
53,132,101,137,117,104
53,132,98,136,115,102
53,132,97,135,118,105
53,132,97,134,120,107
53,132,97,132,122,111
53,132,100,132,123,118
53,132,104,132,125,122
52,130,109,133,125,116
53,131,111,133,120,109
53,131,110,134,112,105
53,131,110,135,121,109
52,131,111,135,129,107
52,131,109,135,123,102
53,131,106,135,116,102
53,131,104,134,112,106
53,131,104,135,121,117
53,130,104,137,123,109
53,130,98,136,116,101
53,131,97,136,116,104
53,131,97,134,116,104
53,131,96,133,120,107
51,131,98,132,127,115
53,131,102,132,128,120
53,131,106,132,128,120
52,131,109,134,128,114
53,131,110,135,119,106
53,131,110,135,112,105
53,131,110,135,113,105
53,131,110,135,116,105
52,131,108,135,117,103
53,131,105,134,117,103
53,131,103,133,119,108
52,131,106,135,124,115
53,131,102,137,116,105
53,131,97,136,120,101
53,132,97,135,124,104
53,131,97,134,121,105
53,131,97,132,121,110
52,131,99,131,125,116
53,131,103,131,129,122
52,131,108,131,124,120
53,131,111,134,124,113
53,131,111,135,118,105
53,131,110,135,114,105
52,131,110,136,115,106
52,131,109,136,115,104
52,131,107,135,114,102
53,131,104,135,110,105
53,131,103,134,122,114
53,132,106,136,135,111
53,131,99,136,126,102
53,131,97,136,118,102
53,131,97,134,115,105
53,131,97,133,115,107
53,131,98,132,116,112
53,131,101,132,121,119
53,131,105,132,131,121
53,131,110,133,131,117
52,131,111,135,123,109
52,131,110,135,118,106
53,131,110,135,116,106
52,131,110,135,116,106
53,131,108,134,115,104
53,131,106,134,116,103
53,131,103,134,123,107
53,132,104,136,129,116
52,131,103,137,121,105
53,131,98,137,113,101
53,131,97,136,114,104
53,131,97,133,115,105
53,131,97,131,119,109
53,131,99,130,122,116
53,131,102,131,126,122
52,131,107,132,129,121
53,131,111,133,125,113
52,131,110,135,118,106
53,131,110,136,117,105
53,132,110,135,120,107
53,131,109,135,120,106
53,131,108,135,117,102
53,131,105,135,114,103
53,131,103,134,119,113
53,131,106,135,124,113
52,131,101,136,116,102
53,130,97,135,116,102
53,131,97,135,120,104
53,131,97,134,122,106
53,131,98,133,121,111
53,131,100,133,124,117
53,131,104,133,128,122
53,131,109,133,127,117
53,131,111,134,120,110
53,131,110,134,113,105
53,131,110,135,114,106
53,131,110,135,120,107
