a0,a1,a2,a3,a4,a5
58,134,114,125,96,102
58,133,111,124,96,109
58,134,108,125,96,113
58,134,104,127,58,134
59,134,93,139,97,120
58,134,92,140,97,115
58,134,95,140,97,109
58,134,98,139,97,103
58,134,102,138,99,100
58,134,106,136,98,96
58,134,108,134,96,92
58,134,110,131,95,93
58,134,113,128,96,96
59,134,114,126,96,100
58,134,112,125,96,105
58,133,109,125,95,112
58,133,105,125,96,116
58,134,101,127,97,121
58,134,98,130,98,122
58,133,95,133,98,123
58,133,94,136,98,122
58,134,92,139,98,118
58,134,93,141,98,112
58,134,96,141,97,106
58,134,100,140,96,101
59,134,104,138,97,98
58,134,107,135,97,94
58,134,108,132,96,92
58,134,112,129,96,94
59,133,113,127,96,97
58,133,114,125,96,103
58,134,111,125,96,109
58,134,108,126,97,114
58,134,104,127,96,119
58,133,101,130,97,122
58,133,97,133,97,123
58,134,94,135,98,122
58,133,93,138,97,120
58,134,92,139,97,116
59,133,94,140,98,109
58,134,98,139,98,104
58,134,101,138,97,101
58,134,105,137,97,97
58,134,108,134,96,92
58,134,110,131,96,92
58,134,112,128,96,95
57,134,114,127,96,99
58,134,113,125,96,106
58,134,109,125,96,111
58,134,106,126,96,115
59,134,103,128,97,120
58,133,99,131,97,122
58,133,95,134,97,123
58,134,94,136,97,121
59,134,93,138,98,119
58,133,93,140,98,113
58,134,95,140,98,107
58,134,99,139,97,102
58,134,103,138,99,99
59,133,107,136,96,95
58,133,108,134,96,92
59,133,111,131,96,94
58,133,113,128,96,96
58,134,114,126,96,101
58,134,111,125,97,108
58,133,108,126,96,113
58,133,104,127,96,118
59,134,101,128,96,121
58,133,97,129,97,123
58,134,95,132,99,123
58,134,93,135,99,121
58,133,93,139,98,117
58,133,94,141,98,111
59,134,97,142,97,105
58,133,100,141,97,101
58,133,105,139,98,98
57,134,107,136,95,93
58,134,109,131,95,92
58,134,112,127,95,95
58,134,114,125,96,98
58,134,113,124,97,105
58,134,110,124,97,111
58,134,106,126,95,115
58,134,103,128,95,120
58,133,100,131,98,121
58,134,97,134,99,123
58,133,94,136,99,122
58,133,93,138,98,120
58,134,93,140,98,114
58,133,95,140,97,108
58,133,99,139,97,103
58,133,103,138,97,101
59,133,106,136,97,96
58,133,108,134,96,92
58,134,111,131,96,93
58,134,113,128,97,96
58,134,114,127,96,101
58,134,112,126,96,107
58,133,109,126,96,112
58,133,105,126,96,117
58,134,102,129,98,120
58,133,98,131,97,122
58,134,95,134,97,123
59,134,93,136,98,121
59,134,92,138,98,118
58,133,93,139,98,112
58,134,96,140,97,106
58,134,100,139,96,101
58,133,104,137,97,98
58,134,107,135,97,94
58,134,109,131,95,92
58,134,112,129,95,94
58,134,114,127,95,97
58,134,113,126,96,103
58,134,111,126,96,109
58,134,107,126,97,114
58,134,104,128,97,119
58,134,100,130,98,121
58,134,97,133,98,123
58,134,94,136,98,122
58,134,93,138,98,121
58,134,93,140,98,116
58,134,95,140,97,110
58,133,98,140,96,104
58,134,101,138,95,101
59,134,105,136,97,96
58,134,107,133,96,92
58,133,110,130,96,93
57,133,113,128,96,96
58,134,114,126,96,99
58,133,113,126,96,106
58,133,109,126,96,111
58,134,106,127,97,116
58,134,103,129,98,121
58,133,99,131,98,122
58,133,96,134,98,123
58,134,94,136,98,121
58,133,92,138,98,119
58,133,93,139,98,113
58,133,96,140,97,107
58,134,100,139,97,102
59,134,103,138,98,98
58,134,106,136,95,95
58,134,108,133,94,92
58,133,111,130,96,94
58,134,113,127,96,96
58,134,114,125,96,102
58,134,111,125,96,108
58,133,108,126,97,113
59,134,104,126,97,118
58,133,101,129,98,120
58,134,98,132,98,123
58,133,95,135,98,122
58,133,93,137,98,121
58,134,92,139,98,117
58,133,94,140,98,110
58,133,97,140,97,105
58,133,101,139,97,101
58,134,105,137,96,98
57,133,107,134,96,93
58,134,109,131,96,92
58,133,112,128,95,95
58,134,114,126,96,98
58,134,113,125,95,104
58,134,110,125,96,110
58,134,107,127,97,115
58,133,103,128,97,120
58,133,99,131,98,121
58,134,96,133,98,123
58,134,94,136,98,122
58,134,93,138,98,120
58,133,93,139,98,114
58,134,95,140,98,108
58,134,98,140,97,103
58,133,102,138,96,101
58,133,107,136,96,96
58,133,108,133,95,92
58,134,111,130,95,93
58,134,113,128,96,96
58,134,113,126,96,101
58,133,112,125,97,107
58,133,109,126,97,113
58,134,106,127,95,117
58,134,102,130,96,121
58,133,98,132,97,122
58,134,95,134,98,122
58,133,93,136,99,121
58,133,93,138,98,118
58,133,93,140,98,112
58,133,97,140,98,106
58,133,100,139,97,102
59,133,104,137,96,98
58,134,107,135,96,94
58,133,109,132,95,92
58,133,111,129,94,95
58,133,113,125,96,97
58,133,114,123,97,104
58,133,111,124,97,110
58,133,107,125,97,114
59,133,104,127,97,119
58,133,100,131,98,121
58,133,97,134,98,123
58,133,94,137,98,122
58,134,93,139,98,120
58,134,93,140,98,115
58,134,95,140,97,109
58,134,98,139,96,104
58,134,101,137,96,101
58,134,105,135,97,96
57,134,107,132,96,92
58,133,110,130,95,93
58,134,112,127,96,95
58,133,114,126,95,100
58,134,112,126,95,106
58,133,109,126,97,111
58,133,105,127,97,116
58,133,102,129,98,121
58,133,99,131,98,122
58,134,95,133,98,123
58,133,94,136,98,122
58,133,93,138,99,119
59,133,93,139,98,112
58,133,96,140,97,106
58,133,99,139,96,102
58,134,104,138,95,99
58,134,107,136,96,95
58,133,109,133,95,92
59,133,111,130,95,94
58,134,113,127,96,97
58,133,113,125,96,102
58,133,111,125,96,108
58,133,108,126,97,114
59,134,105,127,97,119
58,133,101,130,98,120
58,133,97,132,98,123
58,134,94,135,98,122
59,133,93,137,98,121
58,133,93,139,98,117
58,133,94,140,98,110
58,133,97,140,97,105
58,133,100,138,97,101
58,134,105,136,97,97
59,133,107,135,95,93
58,133,110,131,95,93
58,134,113,129,95,95
58,134,114,127,96,99
58,133,113,125,96,106
58,134,110,125,97,111
58,133,106,126,96,115
58,134,103,128,98,119
58,133,99,130,98,121
58,133,96,132,99,123
58,134,94,135,99,122
58,133,93,138,98,120
58,133,93,140,97,113
58,134,96,140,98,107
58,133,99,140,97,103
58,133,102,139,97,100
58,133,106,136,96,96
58,133,108,133,95,92
58,133,111,130,95,93
58,134,113,127,96,96
58,134,114,126,96,101
58,134,112,125,96,107
58,133,108,125,97,113
58,133,104,126,97,117
58,133,101,129,98,121
58,133,98,132,98,122
58,134,95,134,98,123
58,133,94,137,98,121
58,133,92,139,98,118
58,133,94,140,98,111
58,133,97,140,97,106
58,133,100,139,97,101
58,134,104,138,97,97
58,133,107,135,96,93
58,133,109,132,95,92
58,133,112,129,95,95
57,133,113,127,96,97
58,133,113,125,96,104
58,133,110,125,96,110
58,133,107,126,96,114
58,134,104,127,97,119
58,134,100,130,98,121
58,133,97,133,99,124
58,134,94,135,98,122
58,134,93,138,98,120
58,134,93,139,98,115
58,133,95,140,98,109
58,134,98,140,97,103
59,134,102,139,97,100
58,134,106,137,96,96
58,133,107,134,95,92
58,133,110,131,96,93
58,133,113,128,95,95
58,133,114,126,96,100
57,133,112,125,95,107
58,133,109,125,97,112
58,133,105,127,98,116
58,133,103,129,98,121
58,133,99,131,99,122
58,133,95,134,98,123
58,134,93,137,98,122
58,134,93,139,98,119
58,134,93,140,98,112
58,134,96,140,97,106
58,134,100,139,97,102
58,134,104,138,96,98
59,134,107,136,96,94
58,133,108,133,95,92
58,133,111,130,95,94
58,134,113,127,95,97
58,134,114,125,96,103
58,134,111,124,96,109
58,134,107,124,98,114
58,134,105,126,98,119
58,133,101,129,99,121
58,134,98,133,98,123
58,133,95,136,98,123
59,133,93,138,98,121
58,134,93,140,98,116
58,133,94,141,97,109
58,134,97,140,97,104
58,134,101,139,97,101
57,133,105,136,96,97
58,134,107,134,95,92
58,134,110,131,95,92
58,133,112,128,95,95
58,134,113,126,96,99
58,133,113,125,96,105
58,134,110,125,96,111
58,133,106,126,96,115
58,133,103,129,97,120
58,134,100,131,98,122
58,134,96,134,98,123
58,134,94,137,99,122
58,133,93,139,98,119
58,133,93,140,98,113
58,133,95,140,97,107
58,133,99,138,97,102
58,133,103,136,98,99
59,134,107,134,95,95
58,134,108,131,95,91
58,133,111,129,95,93
58,133,113,127,96,96
58,133,114,126,96,101
58,133,112,126,95,108
58,133,108,127,96,113
58,133,105,128,98,118
59,133,101,130,99,121
58,133,98,133,99,123
58,134,95,135,99,123
58,134,94,137,98,121
58,134,93,139,97,117
58,133,94,138,97,111
58,133,97,138,97,105
58,133,100,137,97,102
59,134,104,136,96,98
58,134,107,135,96,93
59,134,109,133,95,92
59,134,112,130,95,94
58,134,113,128,96,98
58,134,113,126,96,104
58,134,110,125,96,110
58,134,107,126,96,116
58,134,104,127,97,120
58,134,100,130,98,121
58,134,97,133,98,123
58,134,94,136,98,122
58,134,93,138,98,120
59,134,93,140,98,115
58,133,95,140,98,108
58,134,98,140,97,103
58,133,102,139,97,100
58,134,106,136,96,95
58,134,107,133,95,92
58,134,110,131,95,93
58,134,113,128,95,95
58,134,114,126,96,100
57,134,112,125,96,107
58,134,109,125,97,112
58,134,105,126,97,118
58,134,102,129,98,121
58,134,99,131,97,123
58,134,96,134,97,123
58,134,94,136,98,122
58,134,92,138,98,118
58,134,93,139,99,112
58,134,96,140,98,106
58,134,100,140,98,102
58,134,104,138,97,97
58,134,107,136,95,94
59,134,109,132,94,92
58,134,111,129,95,94
59,134,113,127,96,97
58,134,113,125,97,102
58,134,111,124,96,109
58,134,107,125,97,114
59,134,105,127,98,119
58,133,101,130,98,121
58,134,98,133,98,123
58,134,95,136,99,123
58,134,93,138,98,121
58,134,93,140,98,116
58,134,94,141,98,109
58,134,97,141,97,104
58,133,101,138,97,100
58,133,105,136,96,96
58,134,107,134,95,92
58,134,110,130,95,92
58,134,112,127,95,95
58,134,113,125,96,99
59,133,113,124,97,106
58,134,109,125,97,112
58,134,106,127,97,116
59,134,103,129,99,121
58,134,100,132,98,122
58,134,96,134,98,123
58,134,93,137,98,122
58,134,92,138,98,120
58,134,93,140,98,114
58,134,96,140,97,107
58,134,99,139,97,101
58,134,102,138,97,99
58,134,106,136,96,95
58,134,108,133,95,92
58,133,111,129,95,93
57,133,113,127,95,96
58,133,114,125,96,102
59,134,112,124,97,108
58,134,108,126,97,113
58,133,105,128,97,119
58,134,101,130,98,121
58,134,98,133,98,123
58,134,95,135,98,123
59,134,93,137,98,121
59,134,93,138,98,117
58,134,94,139,98,110
58,134,97,139,98,105
58,134,100,138,97,101
59,134,105,137,96,97
58,134,107,135,95,92
58,134,109,132,94,92
59,134,112,130,95,94
