a0,a1,a2,a3,a4,a5
55,136,106,132,94,108
54,136,107,132,95,109
54,136,106,133,94,109
54,136,103,132,95,108
55,136,103,133,100,108
55,136,104,134,102,109
55,136,104,135,100,110
55,136,104,136,98,109
54,136,104,136,97,109
55,135,103,136,98,110
55,136,101,135,100,109
54,136,100,134,100,109
54,136,102,131,99,109
55,136,104,130,98,110
54,136,105,130,98,110
55,136,105,131,97,109
55,136,106,132,96,109
54,136,107,134,96,109
55,135,107,135,98,109
54,135,104,136,97,109
55,136,103,136,98,109
55,136,104,135,98,109
55,135,104,134,98,109
54,136,104,133,97,109
55,136,104,133,98,109
55,136,104,133,97,110
55,136,103,134,97,110
55,136,101,135,99,109
55,136,101,135,103,109
55,136,103,134,102,109
55,136,104,133,99,109
54,136,105,133,96,109
55,136,105,132,95,109
54,136,106,131,95,109
54,136,107,130,97,109
55,136,107,132,96,109
55,136,104,134,96,108
55,136,103,136,98,108
55,136,104,137,100,109
55,136,103,136,101,109
54,136,103,135,99,110
55,136,104,134,97,110
54,136,103,133,97,109
55,136,102,133,100,109
54,136,101,132,101,110
55,136,102,131,99,110
55,136,104,131,98,109
55,136,104,131,99,109
55,136,105,132,98,109
55,136,105,133,97,109
55,136,107,134,96,109
54,136,107,135,97,109
54,136,106,136,97,109
55,135,103,136,97,109
55,136,104,135,98,109
54,136,103,134,99,109
54,136,104,133,98,109
54,136,104,134,98,109
55,136,104,134,97,109
55,136,103,135,99,110
55,136,101,135,100,109
55,136,101,135,100,110
54,136,102,134,99,110
55,136,104,133,98,110
54,136,105,132,97,109
55,136,105,131,98,109
55,136,106,132,98,109
55,136,107,132,96,109
55,136,106,134,96,108
55,136,103,134,97,108
54,136,103,135,98,109
54,136,104,135,98,109
55,136,104,136,98,109
55,136,104,136,99,109
55,136,104,137,98,109
55,136,103,137,97,110
54,136,102,135,99,110
55,136,101,135,101,109
54,136,101,134,101,109
55,136,103,131,98,109
55,136,104,129,95,109
54,136,105,128,97,110
55,136,106,129,98,109
55,136,106,131,97,109
55,136,107,133,97,110
55,136,106,135,96,109
55,136,103,135,96,108
55,135,103,134,100,109
54,136,104,133,100,109
54,136,104,133,100,109
55,136,104,135,99,110
54,136,104,136,96,109
55,136,103,137,96,110
55,136,102,136,98,110
55,136,101,135,99,109
55,136,102,133,100,110
55,136,104,131,101,110
54,136,104,130,100,109
54,136,105,130,98,109
54,136,105,131,96,109
54,136,106,133,94,109
55,136,108,134,96,109
55,136,105,136,95,109
54,136,103,135,97,109
55,136,104,135,100,109
54,136,104,134,101,109
54,136,104,134,100,109
55,136,104,135,97,109
54,136,104,135,97,109
54,136,102,135,98,109
54,136,101,134,100,109
55,136,101,133,100,109
54,136,103,131,99,109
55,136,104,131,98,109
54,136,105,131,98,109
55,136,106,131,97,109
54,136,106,132,96,109
54,135,107,134,96,110
56,136,106,135,96,109
54,136,104,136,97,109
54,136,103,136,98,108
55,137,104,135,99,109
55,136,103,135,99,109
55,136,103,134,97,109
55,136,104,134,96,110
55,136,104,135,101,110
54,136,101,135,104,109
54,136,101,135,101,109
54,136,101,134,96,110
54,136,103,132,95,109
55,136,104,131,95,110
55,136,105,130,96,109
55,136,106,131,96,109
54,136,107,131,92,108
55,136,107,132,99,109
54,136,105,134,103,109
55,136,103,136,101,109
55,136,104,136,100,109
53,136,104,136,98,109
54,136,104,136,96,109
55,136,104,135,95,109
55,136,104,134,96,109
55,136,103,134,100,109
54,136,101,133,103,110
55,136,101,133,101,110
54,136,103,132,99,109
54,136,104,132,97,109
54,136,104,132,97,110
54,136,105,132,97,109
54,136,106,132,95,109
55,136,107,132,92,109
54,136,106,133,96,109
55,136,104,134,100,108
55,136,103,134,101,109
54,136,104,135,100,109
55,136,104,136,99,109
55,136,104,136,98,109
55,136,104,136,97,109
55,136,103,136,97,109
55,136,102,134,99,109
54,136,101,132,100,109
