a0,a1,a2,a3,a4,a5
108,159,103,139,98,110
108,159,101,138,97,109
108,159,101,138,95,109
108,159,98,135,94,96
99,156,103,138,97,109
99,156,99,136,94,109
99,156,96,134,93,109
99,156,98,131,95,110
99,156,99,128,96,110
99,156,102,125,98,110
99,156,104,126,99,109
99,156,108,128,101,110
99,156,111,132,102,110
99,156,109,135,100,109
99,156,107,138,98,109
100,156,107,139,99,109
99,156,106,140,100,109
99,156,106,139,100,110
99,156,105,139,99,109
99,156,104,138,98,110
99,156,103,138,97,109
99,156,99,136,94,109
99,156,96,134,93,109
99,156,98,131,95,110
99,156,99,128,96,110
99,156,101,126,97,110
99,156,102,125,98,110
99,156,105,125,100,109
99,156,110,127,101,110
99,156,111,131,103,110
99,156,108,134,100,109
98,156,107,138,100,109
98,156,106,140,100,109
98,156,106,140,99,109
98,156,105,140,98,109
99,156,105,139,98,109
98,156,105,138,96,110
98,156,102,137,96,109
98,156,98,135,95,109
98,155,96,132,95,109
99,156,98,130,96,109
98,156,100,128,96,109
99,156,102,126,97,109
98,156,104,126,99,110
98,156,107,127,100,111
99,156,110,130,103,110
98,156,109,133,102,108
98,156,105,136,100,109
97,156,106,137,99,109
99,156,107,138,99,109
99,156,107,139,97,109
99,156,106,138,97,109
99,156,104,138,99,110
99,155,103,138,99,110
99,156,100,137,96,110
99,156,97,135,94,109
99,156,97,133,94,109
99,156,99,131,95,110
99,156,101,128,96,110
98,156,103,127,99,111
98,156,105,127,100,110
99,156,108,127,103,109
98,155,110,130,102,109
98,156,109,133,99,108
98,156,108,136,99,108
99,156,107,138,99,108
98,156,106,140,100,109
98,156,105,140,100,110
98,156,104,140,98,110
98,156,104,139,96,109
98,156,102,138,95,109
98,156,98,135,94,108
98,155,96,132,94,109
98,155,98,129,95,109
98,156,100,127,96,110
98,155,102,126,98,110
98,155,104,126,99,110
98,155,107,128,100,110
98,155,110,131,102,110
98,155,110,134,102,109
98,156,107,136,100,108
98,155,107,138,99,109
98,156,106,138,99,109
98,155,105,138,98,110
97,155,105,137,98,110
97,155,104,137,98,109
97,156,104,137,98,108
97,155,102,137,95,108
97,155,98,135,93,109
97,155,97,133,94,110
97,155,98,131,98,110
97,155,100,128,100,111
97,156,102,127,100,111
97,156,104,127,99,109
97,156,108,129,98,109
97,155,110,131,100,108
97,155,109,134,99,108
96,156,106,136,99,109
97,156,107,137,100,110
96,156,107,138,100,110
97,156,107,138,98,109
97,156,106,138,98,109
97,156,104,138,96,109
97,156,101,137,95,110
97,156,98,136,95,110
96,156,98,133,96,111
96,156,98,131,95,110
96,156,99,129,95,109
96,156,101,127,97,109
97,156,103,127,99,108
96,156,105,127,100,109
96,156,111,129,102,111
96,155,112,132,101,110
97,156,109,136,99,109
96,156,107,138,100,109
96,156,106,139,100,109
96,156,105,139,99,109
96,155,105,139,98,109
96,156,105,139,98,109
96,156,104,138,98,109
96,156,101,137,96,109
96,156,97,136,94,109
96,156,96,133,94,109
96,156,98,129,96,109
96,156,100,126,96,110
96,156,102,124,98,109
96,156,104,124,99,109
96,155,107,126,100,110
96,156,110,129,102,110
96,155,110,134,101,109
96,156,107,137,99,109
95,155,106,139,99,109
96,155,106,140,97,108
95,155,105,140,98,109
96,155,105,139,99,109
96,156,105,137,98,109
96,156,104,137,96,109
96,156,101,136,95,109
96,156,97,134,93,110
96,156,97,133,96,110
95,156,97,131,99,110
96,156,99,129,101,111
96,156,102,127,100,110
95,156,106,127,98,110
95,156,109,128,100,108
95,156,111,131,99,107
95,156,108,134,99,108
96,156,107,137,99,109
95,156,107,138,99,109
96,156,106,138,99,109
96,156,106,139,100,110
96,156,105,138,98,109
96,156,103,138,96,110
96,156,101,138,96,110
96,156,99,136,95,109
96,156,97,134,95,110
96,156,98,131,95,109
96,156,99,128,97,109
96,156,102,127,98,109
96,156,104,127,99,109
96,157,109,128,100,109
96,157,112,131,102,110
96,157,110,134,101,109
95,156,105,136,98,109
96,157,104,137,99,109
96,157,105,138,100,109
96,156,105,138,99,109
95,156,104,138,99,109
96,157,106,139,98,109
96,157,104,139,97,109
96,157,98,137,95,109
96,156,95,134,94,109
95,157,98,131,95,110
95,156,103,127,96,110
95,156,104,126,96,109
96,156,103,125,97,110
96,157,104,127,100,109
96,157,107,129,103,108
96,157,109,133,103,109
95,156,107,135,100,109
95,156,106,136,99,109
96,157,107,137,99,109
96,156,106,138,99,109
95,156,105,138,98,109
95,157,106,138,99,110
95,157,106,138,99,109
95,157,103,137,95,109
95,156,100,137,94,109
95,157,97,135,95,110
95,157,97,132,97,109
95,156,99,130,96,109
91,156,101,127,97,109
91,156,103,127,98,110
91,156,106,127,101,110
91,157,110,129,102,109
90,156,110,133,100,109
91,156,108,135,99,108
90,156,106,136,99,109
90,156,105,137,100,109
90,156,104,138,99,109
90,156,105,138,100,110
91,157,105,138,99,110
91,156,104,139,96,109
90,157,101,138,93,108
91,156,98,136,93,110
91,156,98,133,96,109
91,156,99,130,97,108
90,157,100,127,95,108
90,157,102,126,96,109
90,157,104,126,100,111
90,157,108,127,102,111
91,157,110,131,104,110
91,156,109,134,100,109
91,156,106,137,98,108
91,157,106,139,99,109
91,156,106,138,99,108
91,156,106,138,99,109
91,156,105,137,97,109
91,156,105,137,95,108
90,156,103,137,94,109
91,156,99,136,94,109
91,156,97,135,96,111
90,156,98,133,99,112
91,156,99,130,99,110
91,156,100,128,98,109
90,156,103,126,96,108
90,156,106,126,98,109
90,156,110,127,101,109
89,156,111,131,101,109
89,156,108,134,100,109
89,155,106,137,100,109
89,156,106,139,99,109
89,156,105,140,98,110
89,156,105,140,97,109
89,156,105,139,98,109
89,156,105,138,97,109
90,156,102,137,95,108
89,156,98,134,94,108
89,156,97,131,94,109
89,156,98,128,95,110
89,156,100,127,97,110
89,156,102,127,99,111
89,156,104,127,101,111
89,156,106,129,102,109
85,156,110,132,101,109
85,156,109,134,99,109
85,156,108,136,99,110
85,156,108,137,98,109
85,157,107,138,97,108
85,156,106,138,98,109
85,157,105,138,99,109
85,156,105,138,100,108
85,156,102,138,97,109
85,156,99,137,92,108
85,156,97,134,91,109
85,156,97,131,94,110
85,156,99,129,96,111
85,156,101,127,97,110
85,156,103,126,98,110
85,156,105,127,101,110
86,156,109,128,102,110
85,156,111,131,103,109
84,156,108,135,99,108
84,156,106,136,98,109
85,156,106,138,98,109
85,156,106,138,99,109
85,156,106,138,98,109
85,156,106,138,100,110
85,156,105,139,101,110
85,156,101,139,95,110
84,156,98,138,93,109
84,156,95,135,95,108
84,156,98,131,97,109
84,155,100,128,96,109
84,155,102,126,96,108
84,155,104,125,98,109
84,156,107,126,102,109
85,156,110,128,102,109
83,156,110,132,100,109
84,156,108,135,98,109
83,156,108,137,99,108
83,155,106,139,99,108
84,156,103,139,101,110
84,156,105,139,99,111
84,156,107,139,95,108
83,156,105,139,94,108
84,155,101,139,96,110
82,155,95,137,97,112
83,156,94,133,98,112
83,156,97,129,95,110
82,156,100,125,95,108
81,156,104,124,96,108
81,156,107,124,99,109
80,156,110,126,102,109
80,156,111,131,101,108
79,156,108,135,98,106
79,156,105,138,99,109
79,156,106,139,101,111
79,156,107,139,101,111
79,156,106,139,98,110
80,156,106,139,97,109
79,156,105,138,98,109
79,156,102,138,97,109
76,156,98,136,94,109
76,156,96,133,93,110
