a0,a1,a2,a3,a4,a5
53,129,101,127,98,106
53,129,104,126,95,121
53,128,106,125,94,127
52,129,107,127,100,123
53,129,106,129,106,115
53,129,105,133,104,114
53,129,105,136,96,115
53,129,105,139,96,114
53,129,104,140,98,108
53,129,104,140,99,104
53,129,103,139,109,108
52,129,108,137,113,115
53,130,103,136,93,96
53,130,97,135,90,86
53,131,99,132,99,93
52,130,101,129,96,92
53,130,99,128,91,98
53,129,102,127,94,113
53,130,105,129,97,126
52,130,108,130,99,127
53,130,107,134,99,120
53,130,106,136,97,115
53,129,105,138,99,113
53,130,104,139,101,114
53,129,105,138,99,111
53,130,104,137,97,106
53,130,103,135,97,105
52,129,104,134,100,117
53,130,109,136,97,109
53,129,100,136,84,86
53,129,96,134,92,88
52,129,101,133,102,94
54,129,100,131,101,92
53,129,101,129,99,104
54,129,104,129,100,118
53,130,106,129,100,127
52,130,107,131,101,125
53,130,107,133,99,115
53,130,106,135,99,113
53,130,105,138,101,115
53,129,105,139,100,115
53,130,104,139,96,109
53,130,103,139,94,104
53,129,103,137,95,105
54,130,107,137,105,118
53,129,105,136,94,99
53,130,97,133,88,85
52,129,99,131,97,91
53,130,101,129,100,93
53,129,99,127,100,96
53,129,103,126,102,111
53,129,106,127,101,125
53,129,107,130,101,128
53,129,108,135,98,122
53,129,106,138,96,115
53,129,106,139,97,114
53,129,105,139,99,114
53,129,105,138,97,112
53,130,103,137,97,107
53,129,103,135,100,105
53,130,103,134,105,114
53,129,108,134,104,111
53,129,102,134,92,90
53,129,97,134,86,85
53,129,100,132,90,93
53,129,101,131,94,91
53,129,100,129,99,102
53,129,104,128,97,116
53,129,106,129,99,127
53,130,108,132,104,127
53,129,106,134,109,117
53,129,105,136,105,114
53,129,106,137,103,116
53,129,106,138,96,114
53,129,104,139,80,108
53,129,103,137,81,105
53,129,104,136,101,107
52,130,107,136,118,120
54,129,105,136,108,103
53,129,98,135,90,84
53,129,97,132,92,90
52,129,102,129,100,95
52,129,101,128,97,97
53,129,102,127,95,108
53,129,104,128,96,120
53,129,107,130,99,128
53,130,107,134,98,122
53,129,107,136,99,113
53,129,105,138,101,114
53,129,105,139,103,116
53,129,105,139,98,113
53,129,104,139,94,108
53,129,103,136,93,104
53,129,103,134,97,109
53,130,108,135,107,118
53,129,104,134,94,95
53,130,97,133,86,85
53,129,99,132,95,93
53,129,101,131,105,93
53,130,101,130,106,100
53,129,103,129,102,113
53,129,105,130,97,125
53,130,106,130,99,126
53,130,108,133,97,121
53,129,107,135,94,113
53,129,105,137,95,114
53,129,105,138,94,114
53,129,104,138,93,111
53,129,103,137,99,106
53,129,103,135,103,105
53,129,104,135,105,118
53,129,109,135,102,107
53,129,99,136,89,85
53,129,96,134,95,88
53,129,101,132,101,94
53,129,100,130,99,93
53,129,101,128,102,105
53,129,104,128,100,120
53,129,106,129,96,129
54,129,108,132,97,123
53,129,106,135,96,114
53,129,105,137,99,113
53,129,106,138,101,116
53,129,106,139,99,115
53,129,104,138,95,108
53,129,103,137,94,103
53,129,103,135,96,107
54,130,107,135,103,120
53,129,105,135,93,100
53,129,97,133,89,83
53,129,99,131,102,92
53,130,102,130,103,94
53,128,100,129,99,100
53,129,102,130,99,109
53,129,104,131,99,123
52,128,106,131,99,128
52,129,108,135,99,121
53,129,107,137,97,113
53,129,105,139,98,114
53,129,105,140,97,114
53,129,104,140,95,111
53,129,103,138,97,106
53,129,103,135,99,104
53,129,103,132,102,115
53,129,109,132,108,113
53,129,101,133,93,89
53,129,96,131,89,85
53,129,100,129,94,93
53,129,101,127,95,92
53,129,101,126,98,103
53,129,104,127,101,117
53,129,106,130,101,129
53,129,109,134,95,126
53,129,107,137,91,116
53,129,105,138,98,112
53,129,105,139,103,114
53,129,105,138,101,114
53,129,104,137,99,109
53,129,103,136,101,105
53,129,103,134,109,106
54,129,106,133,114,121
53,129,106,136,103,103
53,129,98,136,84,84
53,129,97,134,80,89
53,130,101,132,89,94
53,129,100,131,90,95
53,129,101,129,93,108
53,129,104,128,96,122
53,129,107,130,105,127
53,129,108,131,107,122
53,129,106,135,104,113
53,129,106,137,102,114
53,129,105,139,100,114
53,129,105,139,96,113
53,129,105,139,95,108
53,129,103,137,94,104
53,129,103,135,99,112
53,129,108,135,107,116
53,129,102,134,94,93
53,130,97,132,88,85
53,129,100,130,96,93
53,129,101,129,96,92
53,129,100,129,99,100
53,129,104,130,103,114
53,129,106,131,101,128
54,128,108,135,101,127
53,129,106,136,102,117
53,129,104,138,95,112
53,129,106,137,93,116
53,129,107,137,94,115
53,129,106,136,88,110
53,129,103,135,87,103
53,129,102,134,102,106
53,128,105,132,122,120
54,129,109,135,115,109
53,129,99,135,90,85
53,130,97,134,86,89
53,130,101,131,90,94
54,130,100,128,94,93
53,130,101,127,102,106
53,130,105,127,103,119
53,130,106,129,100,129
53,130,108,133,99,125
53,130,107,136,98,115
53,130,105,138,97,113
53,130,105,139,97,115
53,130,105,138,97,114
53,130,104,137,97,108
53,130,103,135,97,103
53,130,103,134,103,108
54,129,107,136,109,118
53,130,105,137,97,98
53,130,97,136,87,86
53,130,100,135,93,93
53,131,102,133,94,93
53,129,100,131,91,97
53,130,102,128,96,111
53,130,105,127,104,124
53,129,108,129,104,128
53,131,108,131,103,122
53,130,107,134,98,114
53,130,106,138,95,115
53,130,104,140,92,113
53,130,103,139,94,110
53,131,103,136,96,107
53,131,103,133,99,104
53,130,104,130,107,116
54,130,109,132,107,110
54,130,101,134,94,89
54,131,97,134,93,88
53,130,101,134,98,94
53,130,101,133,96,93
53,130,101,131,97,102
53,130,103,130,100,117
53,130,105,131,101,127
53,131,107,133,98,125
54,130,107,134,98,117
53,130,106,136,97,113
53,130,105,138,97,115
53,130,105,137,96,116
53,130,104,136,95,109
53,130,104,134,97,104
53,130,103,132,100,106
54,129,105,133,109,120
53,131,105,134,102,102
53,130,99,135,92,85
53,130,99,135,96,91
53,130,101,133,98,92
53,130,100,131,95,95
53,130,102,130,97,109
53,130,105,129,99,123
53,130,106,130,100,129
53,130,107,133,98,122
53,130,107,134,95,114
53,130,106,137,99,114
53,131,105,138,101,115
53,130,104,138,99,112
54,130,103,138,98,105
53,130,102,136,97,103
53,130,103,134,102,111
55,130,110,134,106,115
54,130,104,136,93,92
52,130,98,136,98,86
52,130,99,135,96,94
53,130,100,133,88,92
53,130,100,131,92,101
53,131,103,130,99,114
53,130,104,129,97,125
54,131,107,128,96,125
53,130,107,128,98,116
53,130,105,129,100,113
53,130,107,132,104,118
53,130,108,136,106,116
53,130,105,139,101,110
53,130,103,140,96,105
53,130,102,140,93,105
53,130,104,137,104,120
53,130,107,137,101,105
53,130,99,135,90,84
53,130,98,132,94,89
53,130,102,130,98,94
53,130,100,129,96,93
53,130,101,128,98,107
53,130,105,129,99,123
53,130,106,130,99,130
52,131,107,133,99,122
53,130,107,136,99,114
53,130,106,138,101,114
53,130,105,138,99,114
53,130,104,137,95,111
53,130,103,136,97,107
53,130,103,134,98,104
53,130,103,132,99,109
52,132,110,133,109,118
53,130,105,135,97,97
53,130,97,135,89,85
54,130,99,134,95,92
53,130,101,132,97,92
53,131,100,130,97,98
53,130,103,129,99,112
53,130,105,129,98,125
53,130,107,131,100,128
54,130,108,134,98,120
53,130,106,137,98,113
53,130,106,137,102,113
53,130,105,137,104,115
53,130,105,136,101,111
53,130,103,135,96,105
53,130,103,134,94,104
53,130,104,134,101,117
53,130,109,136,99,111
53,130,102,137,87,89
53,130,97,137,90,89
53,130,101,135,98,94
53,130,100,133,99,90
53,130,99,129,103,101
53,130,103,127,103,118
53,130,106,126,102,130
54,130,109,128,99,127
53,130,108,132,96,116
53,130,106,135,94,112
53,130,105,138,96,115
53,130,105,139,97,116
53,130,104,140,93,109
53,130,103,138,97,103
53,130,102,137,102,106
53,130,106,137,111,118
53,130,104,135,102,100
53,130,98,133,92,85
53,130,99,130,99,90
53,130,101,128,99,94
53,130,101,127,91,97
53,130,103,128,103,113
53,130,105,128,99,124
53,130,106,131,99,126
52,131,107,135,100,120
53,130,105,138,96,113
53,130,104,139,96,113
53,130,105,139,97,115
53,131,106,138,96,113
53,130,104,137,97,107
53,130,103,135,96,104
53,130,103,133,94,112
53,130,109,134,101,113
54,130,102,135,98,91
53,130,97,135,102,86
53,130,101,133,105,96
53,130,102,132,96,93
54,130,100,131,91,100
53,130,103,129,96,115
53,130,105,129,98,126
54,130,108,130,98,126
53,130,107,133,97,118
53,130,106,136,98,113
53,130,106,138,100,115
53,130,105,138,99,113
53,130,103,138,99,110
53,130,103,136,102,105
53,130,104,136,104,107
52,130,105,136,106,119
53,131,107,136,96,103
53,130,98,135,83,85
53,130,97,132,89,90
53,131,101,129,99,95
53,130,101,127,99,95
53,130,102,127,101,108
53,130,105,128,99,122
53,130,107,131,100,130
53,130,108,134,99,122
53,130,106,136,98,113
54,130,105,138,99,114
53,130,105,138,100,115
53,130,105,138,99,114
53,130,104,137,98,108
53,130,104,137,96,104
53,130,102,136,96,108
53,131,107,135,102,116
53,130,103,134,96,95
53,130,98,132,92,86
53,130,101,131,99,94
53,130,102,131,97,92
53,130,100,129,94,99
53,130,103,129,94,113
53,130,106,129,98,127
54,130,108,132,105,127
53,129,108,135,106,119
53,130,105,137,100,112
53,130,105,138,97,114
54,130,105,138,100,114
53,130,104,138,105,111
53,130,104,137,101,106
53,130,103,136,98,105
53,130,104,135,101,117
53,130,108,134,95,108
53,129,100,134,86,87
54,130,98,132,90,89
53,130,101,131,89,95
53,130,101,131,83,94
53,130,101,129,95,105
53,129,104,129,107,118
53,130,106,129,111,129
53,130,109,132,111,125
53,129,106,134,102,114
53,130,105,136,101,113
53,130,105,138,100,115
53,130,106,139,95,114
53,130,104,139,93,108
53,130,103,137,95,104
53,130,103,135,99,109
54,131,107,134,104,118
53,130,105,135,90,98
54,130,96,134,85,83
53,130,99,132,102,92
54,130,103,131,104,94
53,130,100,130,97,97
53,130,102,128,95,112
53,130,105,128,99,125
54,130,108,130,104,129
53,130,109,132,106,122
53,130,106,135,101,113
54,130,106,138,95,114
53,130,105,139,92,115
53,130,105,139,94,112
53,130,104,138,97,106
53,130,103,137,102,104
53,130,103,134,103,113
53,130,108,135,102,111
53,129,101,135,90,89
53,130,96,133,86,86
53,130,100,132,92,94
53,130,101,131,94,92
53,130,101,130,97,104
54,130,104,130,100,116
53,130,105,131,106,128
52,129,108,131,103,127
53,130,107,133,100,117
53,130,105,134,96,112
53,130,106,136,98,115
53,130,106,137,99,114
53,130,104,138,96,109
53,130,102,137,94,103
53,130,102,135,98,106
53,131,106,134,110,119
53,130,108,135,104,105
53,130,99,135,90,85
53,130,98,134,90,89
53,130,102,133,94,94
53,130,101,131,94,95
53,130,102,130,99,108
53,130,104,129,101,122
53,130,106,128,98,128
53,129,109,129,99,124
53,130,107,132,100,115
53,130,106,135,100,113
53,129,105,138,99,114
53,130,104,140,97,113
53,130,104,140,96,108
53,130,103,138,97,103
53,130,102,136,101,110
53,130,109,134,108,116
53,130,104,134,95,94
53,130,97,132,89,86
53,129,100,131,97,93
53,130,101,130,98,93
53,130,101,129,98,100
53,130,103,130,99,113
53,130,105,130,100,126
52,129,108,131,98,127
53,129,107,134,98,120
53,130,107,136,98,113
53,130,105,137,98,113
53,130,105,138,98,114
53,129,105,137,99,111
53,130,104,136,103,105
53,130,103,135,106,105
52,129,103,134,115,119
53,130,108,137,104,108
53,130,100,137,85,88
53,130,97,135,86,87
53,130,100,133,91,94
54,130,100,130,88,94
54,130,101,128,86,106
53,130,104,128,84,119
53,130,105,128,90,130
53,130,107,131,106,124
53,130,107,133,116,115
53,130,105,135,118,112
53,130,105,135,109,114
53,130,105,136,102,114
53,130,104,136,100,108
53,130,104,136,97,105
53,130,103,136,98,109
53,129,109,136,100,119
53,130,105,137,79,98
53,130,97,137,80,83
53,130,98,134,98,92
53,128,101,132,102,93
53,130,100,130,99,98
53,130,102,128,100,110
53,130,105,127,102,124
53,130,106,128,101,129
53,130,107,132,102,121
53,130,106,135,99,113
53,130,105,137,99,114
53,130,106,138,101,115
53,130,105,138,95,111
53,130,104,137,94,106
53,130,103,136,97,104
53,130,104,135,103,113
53,130,108,136,105,112
53,130,101,136,91,90
53,129,96,134,84,87
53,130,100,132,89,94
53,130,102,130,94,93
53,130,102,128,103,105
53,130,105,127,108,117
53,130,106,129,106,126
54,130,106,132,100,124
53,129,105,135,97,114
53,130,105,137,97,113
53,130,106,138,100,116
53,130,106,138,98,116
53,130,105,137,93,110
53,130,103,137,93,104
53,130,103,135,97,106
53,129,106,136,107,119
53,130,105,135,101,101
54,129,97,135,91,84
53,130,99,134,91,91
53,130,102,133,99,94
53,130,100,131,102,96
53,130,102,129,105,109
53,130,105,128,99,123
53,130,107,129,92,129
54,130,109,131,89,122
53,130,107,135,91,113
53,130,105,136,101,114
53,130,104,138,107,114
53,130,103,138,101,112
53,130,103,137,98,107
53,130,103,136,101,105
53,130,104,135,106,111
54,130,109,136,109,114
53,130,103,136,94,94
53,130,99,135,89,87
53,130,101,134,97,94
54,130,101,133,96,92
53,130,100,130,94,102
53,130,103,128,91,113
53,130,104,128,95,125
53,131,107,130,97,125
53,129,107,132,96,117
53,130,105,134,99,113
53,130,106,136,101,116
53,130,105,137,102,115
53,130,104,138,95,112
53,130,104,137,94,107
53,130,104,136,100,105
53,129,105,134,110,118
53,130,107,135,107,106
53,130,99,136,95,86
53,129,98,134,97,90
53,130,101,132,99,95
53,130,101,130,96,93
53,130,101,128,101,105
53,130,103,128,101,120
53,130,106,129,100,130
53,131,107,132,99,124
53,130,107,134,89,115
53,130,106,137,89,114
53,130,105,138,93,114
53,130,105,139,95,113
53,130,104,138,100,107
53,130,102,136,102,104
53,130,104,135,103,107
54,130,109,134,115,117
53,131,104,135,103,98
53,130,96,134,91,85
54,131,99,132,94,91
53,130,102,131,94,94
53,130,101,130,94,98
53,130,103,129,90,112
53,130,104,129,83,123
53,131,106,131,86,125
54,129,109,133,92,122
53,130,107,134,110,114
53,130,106,137,122,116
53,130,105,138,121,115
53,130,104,139,105,110
53,130,103,138,91,106
53,130,103,137,89,103
53,130,103,135,98,113
53,131,108,137,113,112
53,130,100,136,94,88
54,131,95,134,79,85
53,130,100,131,81,95
53,131,102,130,89,98
53,131,103,129,105,107
53,130,105,129,109,113
53,131,107,131,104,125
53,131,110,133,103,124
53,131,106,136,95,118
53,130,101,137,89,116
53,131,102,138,93,114
53,131,105,138,87,112
53,130,105,136,80,106
53,131,105,134,92,106
53,131,105,132,117,110
54,132,110,134,133,122
56,130,107,134,118,100
53,131,97,134,96,80
53,131,97,132,104,86
53,131,97,131,96,97
53,131,96,130,67,106
53,131,104,129,70,118
53,131,109,129,81,122
53,131,110,130,104,130
53,130,109,133,136,124
53,131,106,135,127,112
53,131,103,137,101,106
53,130,103,137,108,105
53,130,104,138,109,104
53,130,102,138,97,104
53,130,101,137,74,109
53,130,102,135,64,128
49,130,111,134,77,125
53,131,105,134,86,86
52,130,100,132,102,72
53,131,102,132,107,84
53,131,102,131,114,92
53,130,100,130,113,104
53,130,102,130,101,115
53,131,102,131,102,128
53,130,106,132,104,134
53,130,107,135,88,115
53,131,106,136,76,95
53,131,105,136,82,105
53,131,105,136,102,124
53,131,106,136,106,148
53,131,107,136,106,141
53,131,102,135,114,104
53,131,104,135,122,88
53,131,107,136,110,72
53,131,99,136,74,73
53,131,96,133,75,96
53,131,101,130,104,103
53,131,101,129,103,102
53,131,100,129,98,111
53,131,102,129,85,117
53,131,106,129,83,122
54,130,112,132,118,126
53,130,111,135,129,116
53,130,109,138,111,119
53,131,106,139,91,110
53,131,103,139,74,112
53,131,102,139,60,103
53,131,101,137,63,97
53,131,100,135,95,112
53,131,105,135,123,136
53,130,103,135,118,123
53,130,97,133,115,97
52,130,100,131,124,89
55,129,104,129,128,75
53,127,104,127,124,81
53,129,107,127,93,104
53,130,105,129,74,120
53,131,105,131,66,111
53,129,103,135,62,110
53,130,103,137,52,120
53,130,102,136,41,122
52,130,104,135,101,123
53,129,110,135,166,109
53,129,110,136,165,102
53,129,106,137,122,114
53,127,106,136,99,129
52,129,110,137,95,120
53,129,101,136,68,101
53,129,95,133,58,86
53,128,97,130,86,77
53,128,97,128,118,84
53,128,101,128,137,116
53,127,107,131,124,133
53,127,107,134,79,102
53,127,107,135,64,99
53,127,109,136,51,119
53,127,111,135,61,137
53,127,108,135,124,124
53,127,102,136,162,102
53,126,99,136,136,105
53,127,98,135,93,91
52,126,95,134,93,85
53,124,95,133,118,125
53,127,101,134,91,138
52,126,104,132,45,103
52,126,108,129,53,107
52,126,110,127,127,105
52,127,109,129,161,91
52,127,106,134,131,106
52,127,103,136,92,132
52,126,107,135,43,117
52,127,106,133,34,90
52,126,103,133,87,94
52,127,101,133,124,88
52,126,103,134,118,123
52,126,109,136,99,169
52,125,105,136,108,113
52,126,102,135,146,73
52,125,104,134,110,114
52,127,111,136,98,117
54,126,98,137,82,50
53,125,93,135,103,27
53,125,101,133,94,57
53,125,102,131,58,129
53,125,99,130,58,166
53,124,103,131,94,144
53,125,97,133,125,116
52,125,99,136,137,104
54,127,106,139,130,110
54,126,112,139,115,144
53,126,115,135,68,140
53,126,112,128,49,117
53,126,105,126,37,140
53,126,102,126,87,164
53,127,102,130,133,124
53,127,109,135,150,109
53,124,107,142,137,73
53,126,94,142,110,10
52,126,94,140,79,13
54,127,102,137,85,49
54,127,103,133,93,111
54,128,105,130,90,145
54,127,106,129,69,158
54,127,107,125,86,197
54,127,105,124,127,180
54,128,107,129,162,129
54,127,105,138,126,83
54,128,100,146,92,41
54,128,92,146,73,7
54,127,97,141,44,78
54,128,107,135,65,121
54,127,111,132,96,145
55,127,116,131,117,199
54,127,102,129,100,140
54,127,92,126,98,56
54,127,103,125,99,57
54,126,111,127,107,66
53,125,104,131,85,111
54,126,101,132,96,150
55,127,108,133,125,126
55,127,107,137,81,101
54,127,98,138,77,128
54,128,99,139,108,144
54,127,101,138,123,134
54,128,102,137,110,82
54,128,100,135,79,45
54,129,105,133,104,64
54,130,114,130,101,131
54,130,120,133,86,170
54,132,113,138,121,130
54,131,90,139,133,65
54,130,86,135,92,66
56,134,100,132,62,84
55,134,105,131,31,97
54,134,102,128,76,163
55,133,105,126,145,186
55,133,105,126,153,182
54,135,106,130,157,153
58,135,102,136,137,107
63,133,100,142,49,34
65,135,105,174,0,0
91,162,125,171,0,46
71,136,110,137,208,130
71,136,112,130,192,188
74,136,115,126,170,179
74,135,118,127,170,135
89,138,105,132,144,96
90,137,92,135,85,52
90,139,95,138,24,77
91,139,106,140,29,104
91,137,99,142,38,114
94,138,92,139,82,108
97,140,94,131,106,102
98,142,109,125,145,97
99,141,111,122,195,90
100,143,109,124,147,127
101,142,109,130,48,142
102,143,105,137,26,111
103,143,104,143,64,121
105,144,102,144,106,144
111,143,101,138,104,139
111,144,106,133,74,110
113,144,116,134,134,91
113,144,104,137,130,77
116,145,91,135,96,88
116,145,95,132,88,101
114,144,103,134,112,89
116,144,101,136,150,96
116,148,101,133,126,118
116,148,107,127,66,134
118,147,113,123,53,123
117,147,109,126,33,104
119,148,101,129,44,100
119,148,102,134,83,115
119,148,106,139,140,127
120,147,105,141,163,121
121,147,105,141,133,116
121,146,105,138,127,116
123,146,109,135,118,129
123,146,106,136,100,86
123,145,93,135,22,47
123,144,95,135,39,68
124,144,97,136,101,100
124,145,98,134,135,124
124,145,103,131,140,109
125,146,104,127,120,104
