a0,a1,a2,a3,a4,a5
57,127,103,124,101,115
57,127,101,127,100,116
57,127,100,130,100,116
58,127,100,134,97,115
57,127,100,138,94,112
57,128,100,141,91,108
57,128,101,142,90,106
57,127,101,141,93,105
58,127,104,140,97,103
57,127,104,138,97,99
57,127,103,135,98,99
57,128,104,131,101,100
57,128,105,128,104,102
57,128,106,125,103,107
57,128,106,124,102,110
57,127,104,124,89,111
57,127,103,125,84,113
56,128,102,126,91,114
57,127,100,128,98,116
57,127,100,130,100,116
57,127,100,134,100,115
57,127,100,137,99,111
58,127,100,140,97,108
57,127,101,142,95,105
57,127,103,142,95,104
58,127,104,141,95,101
57,127,103,138,95,98
57,127,104,134,95,99
58,127,105,130,97,101
57,127,106,126,97,104
58,128,106,124,97,107
57,127,105,123,98,110
57,127,103,123,99,112
57,127,103,125,98,115
58,128,102,127,98,116
57,128,100,130,98,116
58,128,100,133,98,115
57,128,100,137,97,113
57,127,100,140,96,110
57,127,100,141,95,107
57,127,101,142,96,105
57,127,103,141,96,103
57,128,104,139,95,99
57,128,103,135,94,98
57,127,104,132,96,100
57,127,106,128,97,102
57,128,106,125,97,105
57,127,105,123,98,109
57,127,104,123,98,111
58,127,104,123,98,114
57,127,102,126,99,115
57,127,101,128,98,116
58,128,100,132,97,116
57,127,100,135,96,115
57,127,100,138,96,112
57,127,100,140,96,108
57,127,101,141,98,105
57,128,103,141,100,104
58,127,104,140,97,102
57,127,104,137,93,98
57,127,104,134,93,99
57,127,105,130,93,101
58,127,106,127,93,103
57,127,106,124,92,107
57,127,104,123,92,110
57,127,104,123,101,112
57,127,103,124,105,115
57,127,102,127,107,115
58,127,101,130,103,116
57,127,100,133,94,116
58,127,100,136,90,114
57,127,100,139,91,110
58,127,101,141,92,107
57,127,102,141,91,104
58,128,103,141,90,103
57,127,104,139,97,100
57,128,103,136,105,98
57,127,104,133,103,99
57,127,106,129,99,101
58,127,106,126,100,104
57,127,105,124,98,109
57,127,105,123,100,112
58,127,104,123,95,114
58,127,102,126,89,115
57,127,101,128,91,116
57,127,100,131,97,115
57,127,100,134,98,115
58,127,100,137,98,112
57,128,100,140,97,109
57,127,101,141,96,106
57,127,102,141,95,104
57,127,104,140,96,102
57,127,104,138,95,99
57,127,104,135,95,99
57,127,105,131,96,101
57,127,106,127,97,103
57,127,105,125,98,106
57,127,105,123,101,109
57,127,104,123,100,112
57,127,103,124,96,115
57,127,102,126,95,115
57,127,101,129,96,117
58,127,100,133,96,116
57,127,100,136,95,114
57,127,99,139,97,111
57,127,100,141,99,108
57,127,102,141,97,105
57,127,103,141,96,103
58,127,104,140,95,101
57,127,103,137,95,98
57,127,104,133,96,100
57,127,106,129,95,101
57,127,107,127,95,104
56,127,106,124,94,108
57,127,104,123,98,110
57,127,103,123,105,113
57,127,103,124,99,115
58,127,102,127,93,116
57,127,101,130,92,115
57,127,100,134,93,115
57,127,100,137,99,113
58,127,100,139,101,109
58,127,101,141,96,106
57,127,102,141,98,105
58,127,105,140,106,103
57,127,104,139,96,99
58,127,103,136,86,98
57,127,104,132,88,100
58,127,105,128,90,102
57,127,106,125,101,106
57,127,105,123,108,110
57,127,104,123,102,112
58,128,104,123,95,115
57,127,103,126,92,115
57,127,101,129,93,116
57,127,100,132,97,116
58,127,100,135,99,114
58,127,100,138,97,111
57,127,100,140,96,108
57,127,101,141,96,106
58,127,103,141,96,104
57,127,104,141,96,101
57,127,103,138,94,99
57,127,104,134,94,99
57,127,105,131,96,101
57,127,106,127,97,104
57,127,106,124,98,107
57,127,105,123,98,110
57,127,104,123,99,113
57,127,103,124,99,115
57,127,102,127,97,115
58,127,100,130,97,116
57,127,100,133,97,115
57,127,100,137,96,113
57,127,99,139,86,108
57,127,100,140,85,107
57,127,102,140,107,105
58,127,104,140,116,103
57,127,105,139,104,100
58,127,103,136,93,97
57,127,104,133,90,99
58,127,105,129,93,101
57,127,106,125,92,105
57,127,105,123,87,109
58,127,105,122,90,112
57,127,104,124,104,114
57,127,103,127,113,115
58,127,102,130,112,117
58,127,100,134,102,115
58,127,99,137,87,114
57,127,99,139,90,112
57,127,99,141,91,109
58,127,101,141,88,106
58,127,103,140,93,104
58,127,103,138,92,101
58,127,102,135,95,100
58,127,104,132,104,100
57,127,105,128,96,99
58,127,106,126,95,102
58,127,106,125,97,107
58,127,106,125,95,110
58,127,105,125,97,112
58,127,104,127,101,116
58,127,102,129,106,115
58,127,100,132,104,115
58,128,100,134,97,114
58,127,99,136,100,115
58,128,100,138,97,112
58,127,100,139,87,107
58,127,100,139,83,104
58,128,104,138,90,104
58,127,105,137,102,101
58,127,103,135,104,98
58,128,104,132,92,99
58,128,106,128,84,101
60,128,107,126,85,106
61,128,106,124,99,109
60,128,105,124,111,111
61,129,104,126,111,112
60,128,102,128,99,113
60,128,100,129,95,115
60,128,99,132,113,117
60,128,99,135,114,117
60,128,100,137,102,114
60,128,101,140,91,107
60,128,100,141,80,104
60,128,101,140,80,105
61,128,103,139,93,103
62,128,104,136,93,100
63,128,103,132,93,98
63,128,105,129,97,99
63,128,106,126,107,103
64,128,107,125,109,107
62,128,106,125,102,109
65,128,104,126,92,111
62,128,103,128,86,116
62,128,102,129,87,116
63,128,100,131,85,115
63,128,99,133,92,112
65,128,100,135,92,109
65,128,99,137,96,107
65,128,101,139,108,114
65,128,101,140,107,117
65,128,102,139,98,110
66,128,104,138,89,96
66,128,102,135,89,95
67,127,104,131,96,100
68,128,106,127,113,99
68,127,107,125,116,102
68,128,106,124,100,108
68,127,105,124,92,110
69,127,103,125,96,112
70,128,103,128,99,114
70,128,102,131,89,115
70,128,101,133,74,115
70,128,99,135,76,115
71,128,99,136,97,115
70,128,100,138,115,112
70,128,100,140,116,106
69,128,101,139,103,104
71,128,104,139,80,102
71,128,104,137,66,99
70,128,103,134,86,98
70,128,104,131,110,100
70,128,106,127,111,103
70,128,106,125,102,106
72,128,105,123,105,108
70,128,105,123,120,112
70,127,105,124,126,117
71,128,104,128,100,117
72,128,101,132,73,115
72,128,98,136,67,113
73,128,98,138,83,113
72,128,99,139,101,113
73,127,101,140,108,110
73,128,102,140,97,105
74,128,102,139,98,104
72,127,103,138,94,102
73,127,102,135,84,98
72,127,103,133,84,98
73,127,105,129,95,100
73,127,107,127,104,104
73,127,106,125,96,107
73,127,105,124,93,110
73,127,105,125,105,114
72,127,103,127,106,115
73,127,101,129,92,115
73,127,100,131,77,116
72,127,100,133,86,115
72,127,100,136,109,114
73,127,100,138,124,109
73,127,100,140,120,106
73,127,101,141,100,104
73,127,103,140,81,104
72,127,104,138,85,100
73,127,103,134,101,97
73,127,104,130,109,101
73,127,107,128,98,105
72,127,108,127,82,106
72,127,105,127,71,105
72,126,103,125,86,108
73,127,103,124,81,112
74,126,102,123,79,115
74,126,101,125,100,119
75,126,103,128,133,119
74,126,101,133,134,115
73,126,98,138,107,110
73,126,98,140,89,107
73,126,101,142,88,105
74,126,102,143,93,103
74,126,103,141,93,101
74,126,103,139,93,98
75,126,104,135,99,99
75,125,106,131,91,102
75,125,107,128,87,105
74,125,107,125,81,107
74,125,104,123,84,108
74,125,102,121,87,110
74,125,103,121,83,113
74,124,102,122,101,114
74,125,100,125,139,114
75,124,100,130,145,117
75,124,102,135,127,117
75,125,100,140,82,111
75,124,100,143,47,107
75,124,102,144,78,105
76,124,103,144,118,104
75,123,104,142,130,101
76,123,102,138,96,97
75,123,103,132,75,97
75,124,104,127,87,100
75,122,107,124,92,106
76,122,107,124,77,108
75,123,104,124,51,109
75,122,103,125,68,112
75,122,103,126,124,115
75,122,102,128,144,118
74,122,101,130,153,119
74,122,101,133,141,118
75,122,100,136,107,113
74,121,100,138,75,109
74,121,103,142,69,107
73,121,103,144,67,104
73,121,101,143,60,98
73,120,101,139,74,95
72,119,102,134,102,96
72,120,105,128,111,101
71,120,109,124,103,109
72,119,109,124,93,113
71,120,106,126,94,111
72,120,100,126,103,107
71,119,100,126,102,109
70,119,103,126,107,112
70,119,102,127,101,115
