a0,a1,a2,a3,a4,a5
55,136,103,131,118,107
54,136,103,131,117,111
55,136,104,133,118,115
55,136,105,134,115,114
54,136,105,135,111,112
55,136,103,136,111,110
55,136,102,137,114,111
55,136,102,137,118,111
55,136,102,138,121,111
55,136,103,137,123,108
55,136,103,135,125,108
55,136,105,134,129,109
55,136,106,132,127,107
55,136,106,132,124,103
55,136,104,131,121,101
55,136,103,131,119,102
55,136,103,131,119,104
55,136,103,130,120,109
55,136,104,131,120,114
55,136,105,133,120,116
54,136,104,134,116,112
55,136,104,135,113,110
55,136,102,136,112,111
55,136,102,137,114,112
55,136,102,136,117,111
55,136,103,136,122,112
55,136,104,136,125,110
55,136,105,136,126,109
55,136,105,135,128,108
55,136,106,135,126,105
55,136,105,134,122,101
55,136,104,132,119,102
55,136,103,131,119,103
55,136,103,131,120,106
55,136,103,131,120,110
55,136,104,132,119,114
55,136,105,134,118,115
55,136,105,133,115,113
55,136,103,135,113,110
55,136,102,136,114,111
55,136,102,137,116,111
55,136,102,137,118,111
55,136,103,136,120,109
55,136,104,134,123,108
55,136,105,132,128,110
55,135,106,131,129,108
54,136,106,130,127,103
55,136,104,130,125,101
55,136,104,131,122,103
54,136,104,132,118,105
55,136,103,133,119,109
55,136,104,134,123,111
55,136,104,134,121,114
55,136,105,134,116,114
55,136,104,134,109,111
55,136,103,134,109,111
55,136,103,136,116,112
55,136,102,137,121,112
55,136,103,138,120,110
55,136,103,138,122,109
55,136,104,137,123,108
55,136,105,135,127,109
55,136,106,132,127,107
55,136,106,130,124,104
55,136,104,130,120,102
55,136,104,131,119,102
55,136,103,132,119,105
55,136,103,133,119,109
55,136,104,134,120,114
55,136,104,134,120,114
55,136,105,135,116,113
55,136,104,135,113,110
55,136,102,136,111,110
55,136,102,135,114,111
55,136,102,135,116,112
55,136,103,135,118,111
55,136,104,135,122,109
55,136,104,135,127,109
54,136,106,133,130,108
57,136,106,133,128,105
55,136,105,132,124,101
55,136,104,131,123,102
56,136,103,131,122,104
55,136,104,131,121,108
55,136,104,133,123,112
55,136,104,133,116,114
55,136,105,133,113,113
55,136,104,135,112,111
55,136,103,135,112,110
55,136,102,136,113,111
55,136,102,136,116,112
55,136,102,137,119,111
55,136,103,137,122,109
55,136,104,137,125,109
55,136,105,136,128,108
55,136,106,136,129,106
55,137,105,133,125,103
55,136,104,132,122,102
55,136,103,131,120,102
55,136,103,131,119,104
55,136,103,131,119,109
55,137,104,132,120,113
55,136,104,133,120,115
55,136,105,133,117,112
55,136,103,134,114,109
55,136,102,134,112,110
55,136,102,135,114,113
55,136,102,136,116,112
55,136,103,136,120,111
55,136,103,137,123,108
55,136,104,136,126,109
54,137,106,134,129,107
54,135,106,132,128,105
55,136,105,131,124,102
55,136,104,129,122,103
55,136,104,129,120,104
55,136,103,130,119,106
55,136,104,131,119,110
55,136,104,133,120,114
55,136,104,134,119,114
55,136,105,135,116,112
55,136,104,136,112,110
55,136,102,137,110,111
55,136,102,137,114,112
55,136,102,136,121,111
55,136,104,136,125,111
55,136,104,136,124,108
55,136,105,136,126,107
53,136,106,136,127,106
55,135,106,134,125,104
55,136,104,132,122,102
55,136,104,131,118,102
55,136,103,131,120,104
56,136,103,131,122,108
55,136,103,132,121,111
55,136,104,132,121,114
55,136,106,132,118,114
55,136,105,133,114,112
55,136,103,135,112,111
55,136,102,136,113,112
55,136,102,137,115,111
55,136,103,138,119,110
55,136,103,137,122,109
55,136,104,136,126,108
55,137,105,135,130,108
55,136,106,132,127,107
54,136,106,131,123,104
55,136,104,130,121,102
55,136,104,130,121,103
55,137,104,131,121,106
55,136,103,132,121,109
55,136,104,134,120,113
55,136,104,134,119,115
55,136,105,134,116,113
55,136,104,135,112,110
55,136,102,135,111,111
55,136,102,135,114,111
55,136,103,136,117,112
55,136,103,137,122,109
55,136,103,137,126,108
55,136,105,136,129,109
54,136,106,135,133,108
55,137,106,133,126,105
55,136,105,132,118,102
54,136,104,132,118,102
55,136,104,132,119,103
55,135,103,132,120,107
55,136,104,133,120,111
55,136,104,134,121,114
55,136,104,135,118,114
55,136,105,135,115,112
55,136,103,135,111,110
55,136,102,135,112,111
55,136,102,133,115,111
55,136,103,133,119,111
55,136,104,133,122,110
55,136,104,134,125,109
55,136,105,135,128,109
55,136,107,134,129,108
55,136,106,135,125,103
55,136,104,134,122,102
55,136,103,133,119,102
55,136,103,132,118,105
55,136,103,131,118,109
55,136,104,132,120,113
55,136,104,132,121,115
55,136,104,134,118,113
55,136,104,135,116,111
55,136,102,135,114,111
55,136,102,137,113,112
55,136,102,137,113,112
55,136,103,136,117,111
55,136,104,136,122,109
55,136,105,136,126,109
55,135,105,135,127,108
55,136,106,133,128,105
54,136,105,133,127,102
54,136,104,132,124,102
55,136,103,131,120,103
55,136,103,131,119,106
55,136,103,132,118,110
55,136,104,133,120,115
55,136,105,133,118,114
55,136,104,134,113,111
55,136,103,134,111,110
55,136,102,135,112,111
55,136,102,135,114,112
55,136,103,136,118,111
55,136,103,136,121,110
55,136,104,136,124,109
55,136,105,135,130,108
56,136,106,134,133,107
56,136,106,133,130,104
55,136,105,132,121,102
55,136,103,132,116,102
55,136,103,132,116,104
55,136,103,132,118,108
55,136,104,132,121,112
55,136,104,133,121,115
55,136,105,134,118,114
55,136,104,134,115,111
55,136,103,135,111,110
55,136,102,137,114,112
55,136,102,138,116,112
55,136,102,138,116,110
55,136,103,137,121,109
55,136,104,135,127,110
55,136,106,134,131,109
55,136,106,133,129,105
55,136,105,132,125,102
56,136,104,132,122,103
55,135,104,132,120,104
55,136,104,133,119,105
55,136,103,133,119,109
55,136,104,134,119,113
55,136,104,134,119,114
54,135,104,134,116,113
55,136,103,135,113,109
55,136,102,134,110,110
55,136,102,134,113,113
55,136,103,135,118,113
55,136,103,135,121,109
55,136,103,135,123,107
55,136,104,134,126,108
55,136,105,132,129,107
55,135,106,131,128,105
55,136,105,131,125,102
55,136,104,131,122,103
55,136,104,132,120,104
55,136,103,133,119,107
55,136,103,135,120,111
55,136,104,135,120,115
55,136,105,136,116,115
54,136,105,135,111,111
55,136,103,136,110,110
55,136,102,136,112,111
55,136,102,137,116,112
55,136,102,137,120,110
55,136,103,136,124,109
55,136,104,134,130,110
55,136,106,133,133,109
55,135,106,133,125,106
55,136,105,132,120,102
55,136,104,132,119,102
55,136,104,132,119,102
55,136,103,132,119,105
55,136,103,132,120,109
55,136,104,132,120,113
55,136,104,132,121,116
55,136,105,132,117,113
54,136,104,134,114,111
55,136,103,136,112,111
55,136,103,138,114,112
55,136,102,139,117,111
55,136,103,139,120,110
55,136,103,138,122,108
55,136,104,136,124,108
55,136,105,133,128,108
55,136,106,130,129,106
55,136,105,129,125,102
55,137,104,129,121,102
56,136,104,131,119,103
55,136,103,132,119,106
55,136,103,133,119,109
55,136,104,133,120,115
55,136,105,134,119,116
55,136,104,134,115,111
55,136,103,135,112,109
55,136,102,135,112,111
55,136,102,136,115,112
55,136,103,136,118,112
