a0,a1,a2,a3,a4,a5
91,150,104,137,99,104
91,150,103,137,98,104
91,150,103,136,98,109
91,151,104,135,101,105
91,151,104,136,103,107
91,151,103,135,101,109
91,151,103,136,98,113
91,150,104,137,97,112
92,151,104,138,96,110
92,150,104,136,98,110
91,151,104,134,99,111
91,151,104,131,97,111
91,151,103,128,98,111
91,151,103,127,98,109
91,151,104,127,99,108
91,151,103,130,99,109
92,152,104,132,98,108
91,151,103,136,100,105
91,151,103,137,101,104
91,151,103,138,100,104
91,151,103,137,98,106
91,152,104,136,96,110
92,151,104,135,98,112
91,151,103,136,98,114
91,151,103,138,98,112
91,151,103,138,98,109
91,151,103,136,97,109
91,151,104,132,97,111
91,151,103,129,101,111
91,151,103,127,101,110
91,151,103,127,98,109
91,151,103,128,96,109
91,152,104,130,97,110
92,151,104,134,99,106
92,151,103,137,99,103
92,151,103,138,98,104
91,151,104,137,98,105
92,151,104,136,96,107
92,151,104,135,97,111
92,151,104,135,99,113
92,151,103,137,99,112
92,151,104,137,101,111
92,151,104,137,99,110
92,151,104,134,98,111
92,151,103,131,98,111
92,151,103,129,98,110
92,151,103,127,94,109
93,151,104,127,95,109
93,151,104,129,98,109
93,151,105,132,100,108
93,151,103,135,103,104
92,151,103,137,104,104
92,151,103,138,103,105
92,151,104,138,101,106
92,151,103,136,101,107
93,151,103,135,101,113
93,151,105,136,97,116
92,151,105,139,94,112
93,151,104,139,90,108
92,151,102,137,91,108
93,151,102,133,95,110
92,151,103,129,93,112
92,151,104,127,95,111
92,151,103,126,96,109
92,151,103,126,98,109
92,151,103,129,107,110
92,149,104,133,109,106
93,151,103,136,105,103
93,151,103,138,101,104
92,152,103,138,98,105
93,151,103,137,92,107
92,151,104,134,95,110
92,151,105,134,102,114
93,151,105,137,101,112
92,151,104,138,97,109
93,151,102,138,94,108
93,151,103,136,96,111
93,151,105,133,98,113
94,151,104,130,99,112
94,151,103,128,98,110
94,151,102,127,96,109
94,151,105,128,97,111
94,151,107,131,102,108
94,151,104,135,104,105
94,152,102,138,106,103
94,151,103,140,102,104
94,151,102,139,97,104
94,151,103,137,95,107
94,152,104,135,96,110
94,152,104,134,94,113
96,152,104,134,95,113
96,151,102,135,96,111
96,151,102,134,95,109
96,151,103,133,99,112
96,151,105,131,100,113
96,151,104,130,96,111
96,151,103,127,98,109
96,151,103,127,101,109
97,151,102,128,101,108
98,151,104,133,98,106
97,151,104,136,97,104
97,151,104,138,99,106
97,151,105,138,101,105
97,152,104,137,103,106
97,152,104,136,101,109
98,152,104,136,98,112
97,152,104,137,96,112
97,152,104,138,101,112
98,152,103,138,98,110
98,152,103,136,96,110
97,152,103,133,93,111
98,152,103,130,95,112
98,152,103,128,97,110
103,152,103,128,100,108
103,152,102,129,101,109
105,152,105,131,98,110
104,152,105,134,98,107
104,152,103,136,100,104
103,152,103,136,100,104
105,152,104,136,98,105
105,152,103,135,98,106
105,152,103,134,96,109
105,152,103,134,94,113
105,153,105,137,95,113
105,153,105,138,100,112
105,153,104,138,101,112
105,153,104,136,101,111
106,152,103,134,100,110
105,152,103,131,98,109
105,152,102,128,97,109
105,152,102,127,96,109
105,153,104,127,98,110
105,153,105,130,100,107
106,153,103,134,101,104
105,152,104,136,99,103
106,152,103,138,99,103
106,153,102,138,98,106
106,153,104,137,97,111
105,153,105,136,97,112
106,153,104,136,98,112
106,152,103,137,99,113
106,153,104,137,100,110
106,153,103,136,99,110
106,152,103,133,100,110
106,153,103,131,101,110
105,153,103,129,101,110
105,153,103,128,96,110
105,153,104,128,96,109
106,153,104,130,97,110
105,152,104,134,96,106
105,153,103,136,99,103
105,153,103,137,99,104
106,153,103,137,100,106
105,153,104,136,99,109
106,153,104,135,96,109
106,153,104,135,95,112
106,153,103,137,93,112
106,153,103,138,98,111
106,153,103,138,103,109
106,153,103,136,105,111
106,153,103,133,99,112
106,153,104,130,95,112
106,153,103,128,94,109
106,153,103,126,95,109
106,153,104,127,97,109
106,153,104,130,99,108
106,153,104,134,101,105
105,153,103,136,100,103
106,153,104,138,97,105
106,153,104,138,98,105
106,153,103,137,103,108
106,153,104,136,100,112
106,153,104,136,100,113
106,153,104,137,98,112
106,153,104,138,96,110
106,153,103,137,99,110
106,153,103,134,99,110
106,153,103,131,92,111
106,154,104,128,92,112
106,154,104,127,97,109
106,154,103,127,97,109
106,154,103,129,97,109
106,153,104,132,101,108
106,153,104,135,103,104
106,154,103,137,104,103
106,154,103,138,103,103
106,154,104,137,101,106
106,154,104,136,98,109
106,154,103,136,100,113
106,154,103,137,98,114
106,154,104,138,93,112
106,154,104,138,94,110
106,154,103,136,96,110
106,154,103,133,101,111
106,154,103,130,103,111
106,154,104,128,99,110
106,154,104,127,97,108
106,154,103,128,97,109
107,154,103,130,96,110
106,154,104,134,97,106
107,154,103,136,96,104
106,154,103,137,97,104
106,154,104,137,94,105
106,154,104,136,99,107
106,154,104,135,107,110
106,154,104,136,105,113
106,154,104,137,100,113
106,154,103,138,93,112
106,154,104,137,91,110
106,154,104,135,94,111
106,154,103,132,98,110
106,154,102,129,99,110
106,154,103,128,102,109
106,154,103,127,101,109
106,154,103,129,94,109
107,154,105,131,93,109
107,154,104,135,100,105
107,154,103,137,103,103
107,154,103,137,102,103
