a0,a1,a2,a3,a4,a5
87,145,107,129,94,117
87,145,107,128,96,114
87,145,106,128,96,109
87,145,103,129,99,107
87,145,102,130,104,105
87,146,100,132,106,100
86,146,100,134,105,95
87,145,100,136,104,95
87,146,100,138,103,98
87,146,101,139,100,102
87,145,102,139,97,108
87,146,102,139,95,117
87,146,104,139,96,120
87,146,105,137,97,118
87,145,106,136,94,115
87,145,107,133,92,116
87,145,107,130,93,117
87,145,107,127,94,116
87,145,106,126,99,113
87,145,105,127,99,109
87,145,103,128,102,108
87,146,102,132,102,103
88,145,101,135,102,97
87,145,100,138,102,94
87,146,100,139,102,96
88,145,100,140,102,97
88,145,101,139,101,104
88,145,102,137,101,113
88,145,103,137,100,120
88,145,104,137,96,119
88,145,106,135,92,116
88,145,107,134,89,116
88,145,108,132,90,117
88,145,108,130,93,118
88,145,107,129,96,117
87,145,106,129,96,111
87,145,104,129,100,107
87,145,103,131,105,105
88,145,101,133,104,100
87,145,100,136,100,94
87,146,100,138,101,95
88,145,100,138,102,96
88,145,101,138,103,101
87,145,102,137,103,108
88,145,103,136,103,116
88,145,103,137,105,119
87,145,104,137,98,117
88,145,106,136,91,116
88,145,107,133,90,117
88,145,108,130,85,117
87,145,108,128,88,116
88,145,106,127,95,114
87,145,105,128,99,110
88,145,103,130,103,107
88,145,102,133,107,104
87,145,100,136,105,99
88,145,99,139,99,94
88,145,100,140,96,95
88,145,100,139,96,97
87,145,101,136,103,102
88,145,102,133,105,111
88,145,103,132,102,119
88,145,105,133,99,120
87,145,106,135,96,117
88,145,107,136,93,115
88,145,107,136,93,117
87,145,107,133,90,117
88,145,107,131,90,115
88,145,105,128,95,111
88,145,104,127,100,108
88,145,103,128,102,108
88,145,102,132,100,102
88,146,100,135,98,96
88,145,100,138,103,95
88,145,99,139,109,95
88,145,100,140,105,99
88,145,101,139,103,107
88,145,102,138,103,115
88,145,103,137,100,120
88,145,104,137,91,119
88,145,106,135,87,116
88,145,107,133,87,116
88,145,108,130,91,118
88,145,107,128,96,117
88,145,106,127,99,114
88,145,105,128,100,109
88,145,103,130,103,108
87,145,103,132,108,105
87,145,101,136,102,100
87,145,100,138,99,95
87,145,100,138,100,94
87,145,101,138,102,98
87,145,101,137,102,103
87,145,102,137,101,109
87,145,103,136,101,117
88,145,104,137,98,119
88,146,105,136,93,116
88,145,106,135,91,115
88,145,107,134,92,118
88,145,108,132,92,119
88,145,107,131,92,116
87,145,105,129,93,111
87,145,104,128,98,107
87,145,103,129,103,108
87,146,101,130,106,103
88,145,100,132,106,98
88,145,100,135,104,95
88,145,100,137,101,95
88,145,101,138,98,98
88,145,102,138,100,105
88,145,103,139,100,114
88,145,104,138,101,119
87,145,104,138,97,119
88,145,106,136,93,116
88,146,107,134,91,116
88,145,108,131,95,118
88,145,108,129,95,118
88,145,107,128,95,115
88,145,105,128,94,110
88,145,103,129,96,107
87,145,101,131,98,105
87,146,101,134,102,103
88,145,100,137,104,97
88,146,100,138,104,95
88,145,100,138,101,96
87,145,100,137,103,100
88,145,101,137,107,107
87,145,102,136,108,117
88,145,104,137,102,121
87,146,106,137,97,118
87,146,107,137,86,115
87,145,107,134,80,117
88,145,107,132,85,118
87,145,107,130,91,116
88,145,106,128,97,112
88,145,105,128,101,108
88,145,104,129,105,107
88,146,102,131,106,103
88,145,101,134,105,98
87,146,100,137,102,95
88,145,100,139,102,96
88,146,99,139,103,98
87,145,100,138,102,105
87,146,102,137,100,113
88,146,103,137,96,119
87,146,103,136,91,118
88,145,105,135,91,116
88,145,107,134,89,116
88,146,108,131,93,117
88,146,108,130,97,118
87,146,107,129,97,114
88,146,105,128,98,110
88,146,104,127,100,109
88,146,103,129,105,108
88,146,102,132,104,102
88,146,100,136,101,96
88,146,100,138,99,94
88,146,100,140,101,95
88,146,101,140,104,101
88,146,102,138,106,108
88,146,103,137,104,115
88,146,104,137,99,121
88,146,105,136,92,118
88,146,106,135,88,115
87,146,107,133,87,115
88,146,108,131,88,117
88,145,107,129,89,116
88,146,106,128,91,112
87,145,104,128,100,108
87,146,103,129,109,109
87,146,102,131,110,106
87,145,101,134,107,100
87,145,100,137,103,95
87,146,100,138,103,95
88,146,101,139,101,97
86,145,101,138,99,102
87,145,102,137,98,110
87,145,103,137,98,118
87,145,104,136,98,120
88,145,106,137,94,116
87,145,107,136,91,115
88,145,108,133,91,117
87,145,108,131,92,117
87,146,107,129,94,115
87,145,105,128,96,111
87,146,104,128,99,108
87,146,102,129,103,108
88,146,101,132,106,102
88,145,100,135,104,97
88,145,99,137,102,95
88,145,100,138,101,95
87,145,101,139,101,100
88,145,102,138,101,106
88,146,103,138,99,113
88,145,103,137,99,120
88,145,105,137,96,119
88,145,106,136,94,115
87,145,107,134,91,116
87,145,107,131,92,118
87,145,107,128,93,118
87,146,107,127,94,113
88,146,106,127,97,110
88,146,104,129,102,108
88,146,102,131,104,104
87,145,100,135,103,100
87,146,99,137,103,94
87,145,99,138,103,95
87,145,101,138,99,98
87,146,102,138,99,102
87,146,102,137,99,109
87,145,104,137,100,118
87,146,103,138,99,119
87,146,104,137,97,116
87,146,105,136,97,116
87,146,107,133,94,118
87,146,109,131,93,118
87,146,108,129,97,115
87,145,106,128,91,110
87,145,104,128,89,107
87,145,103,129,98,107
88,146,102,133,106,103
87,145,101,136,105,96
88,146,100,137,103,94
88,146,100,138,103,96
88,146,101,137,103,100
88,146,101,137,102,106
88,146,102,136,100,113
88,146,103,137,98,120
88,146,105,137,98,118
88,146,106,137,94,115
88,146,107,135,89,114
88,146,107,132,89,117
88,145,108,129,93,118
88,146,107,127,95,114
88,146,105,127,98,110
88,146,104,128,102,109
88,145,102,131,104,108
88,146,101,134,105,102
