a0,a1,a2,a3,a4,a5
55,138,105,132,123,101
55,138,104,132,121,102
56,138,104,132,119,104
55,138,103,132,122,110
55,139,104,136,122,108
55,139,105,134,121,109
55,139,107,132,126,107
55,140,106,131,127,104
56,139,104,130,123,102
55,139,104,131,120,103
54,139,103,132,117,104
55,139,103,133,118,109
55,139,104,134,119,113
55,139,104,134,118,115
55,139,105,134,118,113
55,139,104,134,115,111
55,139,102,135,112,110
55,139,102,136,114,112
54,139,102,137,117,111
55,139,102,137,120,110
55,139,104,136,122,108
55,139,105,134,121,109
55,139,107,132,126,107
55,140,106,131,127,104
56,139,104,130,123,102
55,139,104,131,120,103
54,139,103,132,117,104
55,139,103,133,118,109
55,139,104,134,119,113
55,139,104,134,118,115
55,139,105,134,118,113
55,139,104,134,115,111
55,139,102,135,112,110
55,139,102,136,114,112
54,139,102,137,117,111
55,139,102,137,120,110
55,139,103,137,122,109
55,139,104,136,123,108
54,139,105,134,130,108
54,141,107,133,131,106
55,139,106,132,126,103
55,139,104,132,122,102
55,139,103,132,119,103
54,139,103,133,118,107
55,140,103,133,118,111
55,139,104,134,120,114
55,139,104,135,117,115
55,139,104,135,111,112
55,139,102,133,111,109
55,139,102,132,115,111
55,139,102,132,118,112
55,139,103,133,121,112
55,139,103,135,123,110
55,139,104,136,126,108
55,139,105,136,128,109
54,139,107,135,130,108
55,139,107,133,126,104
55,139,105,132,119,101
55,139,104,132,118,103
55,139,103,132,118,105
55,139,103,132,117,108
55,139,103,133,118,112
55,139,104,134,120,114
55,139,104,135,119,114
55,139,104,135,114,111
55,139,102,135,112,110
55,139,102,136,114,112
55,139,102,137,118,112
55,139,103,137,121,110
55,139,103,137,123,108
55,139,104,135,125,108
55,139,106,134,129,109
55,139,107,132,128,107
55,139,106,131,124,103
55,139,104,131,121,102
54,140,104,131,120,103
54,139,103,132,119,105
55,139,103,132,119,109
55,139,104,133,119,114
55,139,104,135,119,115
55,139,105,135,114,113
55,139,103,135,112,110
55,139,102,136,113,112
55,139,102,137,117,112
55,139,102,137,119,111
55,139,103,137,120,109
55,139,103,135,123,108
55,139,104,133,127,108
55,138,107,132,129,109
55,139,107,131,127,106
55,139,105,132,122,101
55,139,104,131,119,102
55,140,103,131,119,104
55,139,104,132,119,107
55,139,103,132,119,111
55,139,104,133,119,115
55,139,105,132,119,114
55,139,104,134,115,112
55,139,103,135,113,110
55,139,102,136,114,112
55,139,102,137,116,112
55,139,102,137,119,111
55,139,103,137,122,108
55,139,104,136,125,108
55,139,105,134,127,109
55,140,107,133,128,108
55,139,106,132,124,102
55,139,104,131,121,101
55,140,103,131,120,102
55,139,103,131,119,105
55,139,103,132,119,109
55,140,104,133,120,113
55,139,105,134,120,117
55,140,105,135,116,114
55,139,104,135,114,111
55,139,102,136,112,110
55,140,101,137,115,112
55,139,102,137,117,112
55,140,103,137,119,111
55,139,104,136,123,109
55,139,104,135,128,108
54,140,106,135,130,107
55,140,107,132,127,105
55,139,105,132,123,101
55,140,104,131,120,102
